row_label_raw,row_label_full,Số dư đầu năm,Đơn vị tính: VND > Năm nay > 74.861.267.435,Đơn vị tính: VND > Năm trước > 72.241.957.658,numeric__Đơn vị tính: VND > Năm nay > 74.861.267.435,numeric__Đơn vị tính: VND > Năm trước > 72.241.957.658
Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,11.421.418.728,9.228.008.376,11421418728.0,9228008376.0
Cổ tức chi trả trong năm,Cổ tức chi trả trong năm,Cổ tức chi trả trong năm,(2.910.377.826),(4.557.905.012),-2910377826.0,-4557905012.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,(1.218.746.913),(2.050.793.587),-1218746913.0,-2050793587.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,82.153.561.424,74.861.267.435,82153561424.0,74861267435.0
