row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,2.903.266.353,133.496.503.381,(134.397.661.073),2.002.108.661,2903266353.0,133496503381.0,-134397661073.0,2002108661.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,8.202.109.690,25.294.243.005,(26.979.523.775),6.516.828.920,8202109690.0,25294243005.0,-26979523775.0,6516828920.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.106.944.122,37.589.391.822,(37.879.994.208),816.341.736,1106944122.0,37589391822.0,-37879994208.0,816341736.0
"Thuế nhà đất, tiền thuê đất","Phải nộp > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",591.560.678,16.483.335.946,(15.411.576.143),1.663.320.481,591560678.0,16483335946.0,-15411576143.0,1663320481.0
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,5.783.558.385,1.307.206.806,(2.969.363.880),4.121.401.311,5783558385.0,1307206806.0,-2969363880.0,4121401311.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,18.587.439.228,214.170.680.960,(217.638.119.079),15.120.001.109,18587439228.0,214170680960.0,-217638119079.0,15120001109.0
,,,Số đầu năm,Số phải thu trong năm,Số đã thu trong năm,Đơn vị tính: VND,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,431.961.912,160.671.517,(35.491.766),557.141.663,431961912.0,160671517.0,-35491766.0,557141663.0
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,745.083.269,1.136.316.088,(939.441.750),941.957.607,745083269.0,1136316088.0,-939441750.0,941957607.0
"Thuế nhà đất, tiền thuê đất","Phải thu > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",341.537.275,2.049.343.429,(335.151.823),2.055.728.881,341537275.0,2049343429.0,-335151823.0,2055728881.0
Các loại thuế khác,Phải thu > Các loại thuế khác,Các loại thuế khác,20.459.520,28.133.696,(25.743.280),22.849.936,20459520.0,28133696.0,-25743280.0,22849936.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,1.539.041.976,3.374.464.730,(1.335.828.619),3.577.678.087,1539041976.0,3374464730.0,-1335828619.0,3577678087.0
