row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Cổ tức, lợi nhuận phải trả","Ngắn hạn > Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",775.663.610,491.128.444,775663610.0,491128444.0
"Kinh phí đo đạc, cấm mốc, cấp giấy chứng nhận quyền sử dụng đất (*)","Ngắn hạn > Kinh phí đo đạc, cấm mốc, cấp giấy chứng nhận quyền sử dụng đất (*)","Kinh phí đo đạc, cấm mốc, cấp giấy chứng nhận quyền sử dụng đất (*)",7.045.582.488,7.045.582.488,7045582488.0,7045582488.0
"Nhận ký quỹ, ký cược","Ngắn hạn > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",11.181.062.510,12.736.618.329,11181062510.0,12736618329.0
Phải trả các thầu phụ chưa được đối chiếu,Ngắn hạn > Phải trả các thầu phụ chưa được đối chiếu,Phải trả các thầu phụ chưa được đối chiếu,10.392.387.723,10.392.387.723,10392387723.0,10392387723.0
Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,Ngắn hạn > Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,6.382.824.376,6.170.433.430,6382824376.0,6170433430.0
"Các khoản phải trả, phải nộp khác","Ngắn hạn > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",24.758.099.226,19.949.384.508,24758099226.0,19949384508.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,60.535.619.933,56.785.534.922,60535619933.0,56785534922.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Nhận ký quỹ, ký cược","Dài hạn > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",17.300.593.781,18.037.205.548,17300593781.0,18037205548.0
Phải trả dài hạn khác,Dài hạn > Phải trả dài hạn khác,Phải trả dài hạn khác,990.000.000,-,990000000.0,
Phải trả dài hạn khác cho bên liên quan (Thuyết minh số 33),Dài hạn > Phải trả dài hạn khác cho bên liên quan (Thuyết minh số 33),Phải trả dài hạn khác cho bên liên quan (Thuyết minh số 33),1.215.535.680,1.215.535.680,1215535680.0,1215535680.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,19.506.129.461,19.252.741.228,19506129461.0,19252741228.0
