row_label_raw,row_label_full,col_0,Số cuối năm > Số dư,Số cuối năm > Dư phòng,Số cuối năm > Giá trị hợp lý,Số đầu năm > Số dư,Số đầu năm > Dư phòng,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Số dư,numeric__Số cuối năm > Dư phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Số dư,numeric__Số đầu năm > Dư phòng,numeric__Số đầu năm > Giá trị hợp lý
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,1.175.078.139.520,-,1.175.078.139.520,1.141.390.360.287,-,1.141.390.360.287,1175078139520.0,,1175078139520.0,1141390360287.0,,1141390360287.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,16.024.861.978,-,16.024.861.978,18.816.778.144,-,18.816.778.144,16024861978.0,,16024861978.0,18816778144.0,,18816778144.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.191.103.001.498,-,1.191.103.001.498,1.160.207.138.431,-,1.160.207.138.431,1191103001498.0,,1191103001498.0,1160207138431.0,,1160207138431.0
