row_label_raw,row_label_full,Các khoản vay dài hạn ngân hàng được trình bày như sau:,Các khoản vay dài hạn ngân hàng được trình bày như sau:_1,Các khoản vay dài hạn ngân hàng được trình bày như sau:_2,Các khoản vay dài hạn ngân hàng được trình bày như sau:_3,Các khoản vay dài hạn ngân hàng được trình bày như sau:_4,numeric__Các khoản vay dài hạn ngân hàng được trình bày như sau:_1,numeric__Các khoản vay dài hạn ngân hàng được trình bày như sau:_2,numeric__Các khoản vay dài hạn ngân hàng được trình bày như sau:_3,numeric__Các khoản vay dài hạn ngân hàng được trình bày như sau:_4
,,,Số cuối năm(VND),Kỳ hạn trả gốc và lãi,Lãi suất,Hình thức đàm bảo,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Số cuối năm(VND),Kỳ hạn trả gốc và lãi,Lãi suất,Hình thức đàm bảo,,,,
Ngân hàng TMCP Nông nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh Lộc Bình,Bên cho vay > Ngân hàng TMCP Nông nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh Lộc Bình,Ngân hàng TMCP Nông nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh Lộc Bình,3.000.000.000,"Lãi vay trả từng quý, kỳ trả nợ cuối cùng 4 tháng 11 năm 2024","11,5%/năm(được cấp bù chênh lệch lãi suất 5.75%/năm)","Nhà làm việc văn phòng công ty và thông lấy gỗ tại khu trồng rừng xã Tĩnh Bắc, Lộc Bình, Lạng Sơn",3000000000.0,,,
Trong đó: Vay dài hạn đến hạn trả,Bên cho vay > Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,1.600.000.000,,,,1600000000.0,,,
Ngân hàng TMCP Ngoại thương - Chi nhánh Thành phố Hồ Chí Minh Trong đó: Vay dài hạn đến hạn trả,Bên cho vay > Ngân hàng TMCP Ngoại thương - Chi nhánh Thành phố Hồ Chí Minh Trong đó: Vay dài hạn đến hạn trả,Ngân hàng TMCP Ngoại thương - Chi nhánh Thành phố Hồ Chí Minh Trong đó: Vay dài hạn đến hạn trả,6.428.952.078,Không xác định.,9%/năm,Tín chấp,6428952078.0,,,
Ngân hàng TMCP Ngoại thương - Chi nhánh Thành phố Hồ Chí Minh Trong đó: Vay dài hạn đến hạn trả,Bên cho vay > Ngân hàng TMCP Ngoại thương - Chi nhánh Thành phố Hồ Chí Minh Trong đó: Vay dài hạn đến hạn trả,Ngân hàng TMCP Ngoại thương - Chi nhánh Thành phố Hồ Chí Minh Trong đó: Vay dài hạn đến hạn trả,1.783.341.443,,,,1783341443.0,,,
Ngân hàng TMCP Đầu tư và Phát triển - Chi nhánh Hải Vân,Bên cho vay > Ngân hàng TMCP Đầu tư và Phát triển - Chi nhánh Hải Vân,Ngân hàng TMCP Đầu tư và Phát triển - Chi nhánh Hải Vân,6.775.000.000,60 tháng kể từ ngày giải ngân đầu tiên.,Lãi suất tiết kiệm + phí Ngân hàng cố định là 3.5%/năm.,"Hàng tồn kho, máy móc thiết bị, nhà xưởng khu công nghiệp Hòa Khánh, số quyền sử dụng đất số 39-41 Nguyễn Thái Học của Công ty Cổ phần Vinafor Đà Nẵng.",6775000000.0,,,
Trong đó: Vay dài hạn đến hạn trả,Bên cho vay > Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,900.000.000,,,,900000000.0,,,
Tổng cộng,Bên cho vay > Tổng cộng,Tổng cộng,16.203.952.078,,,,16203952078.0,,,
Trong đó:Vay dài hạn đến hạn trảVay dài hạn,Bên cho vay > Trong đó:Vay dài hạn đến hạn trảVay dài hạn,Trong đó:Vay dài hạn đến hạn trảVay dài hạn,4.283.341.44311.920.610.635,,,,4.283341443119206e+20,,,
