row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số phát sinh trong năm > Tăng do mua công ty con,Đơn vị tính: VND Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số phát sinh trong năm > Tăng do mua công ty con,numeric__Đơn vị tính: VND Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,
Vay ngắn hạn ngân hàng(Thuyết minh số 22.1),Vay ngắn hạn > Vay ngắn hạn ngân hàng(Thuyết minh số 22.1),Vay ngắn hạn ngân hàng(Thuyết minh số 22.1),-,1.142.710,-,-,1.142.710,,1142710.0,,,1142710.0
Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 22.1),Vay ngắn hạn > Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 22.1),Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 22.1),593.960.392.149,641.381.095.699,(580.098.363.669),22.435.486.724,677.678.610.903,593960392149.0,641381095699.0,-580098363669.0,22435486724.0,677678610903.0
Vay đối tượng khác dài hạn đến hạn trả (Thuyết minh số 22.2),Vay ngắn hạn > Vay đối tượng khác dài hạn đến hạn trả (Thuyết minh số 22.2),Vay đối tượng khác dài hạn đến hạn trả (Thuyết minh số 22.2),36.995.495.834,3.464.023.000,(36.995.495.834),-,3.464.023.000,36995495834.0,3464023000.0,-36995495834.0,,3464023000.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,630.955.887.983,644.846.261.409,(617.093.859.503),22.435.486.724,681.143.776.613,630955887983.0,644846261409.0,-617093859503.0,22435486724.0,681143776613.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,
Vay ngân hàng(Thuyết minh số 22.1),Vay dài hạn > Vay ngân hàng(Thuyết minh số 22.1),Vay ngân hàng(Thuyết minh số 22.1),4.202.820.140.685,709.516.093.864,(1.271.264.717.945),316.317.985.864,3.957.389.502.468,4202820140685.0,709516093864.0,-1271264717945.0,316317985864.0,3957389502468.0
Vay các bên liên quan(Thuyết minh số 32.2),Vay dài hạn > Vay các bên liên quan(Thuyết minh số 32.2),Vay các bên liên quan(Thuyết minh số 32.2),-,1.000.000.000,-,-,1.000.000.000,,1000000000.0,,,1000000000.0
Vay các đối tượng khác(Thuyết minh số 22.2),Vay dài hạn > Vay các đối tượng khác(Thuyết minh số 22.2),Vay các đối tượng khác(Thuyết minh số 22.2),50.234.033.000,13.148.529.000,(3.464.023.000),20.000.000,59.938.539.000,50234033000.0,13148529000.0,-3464023000.0,20000000.0,59938539000.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,4.253.054.173.685,723.664.622.864,(1.274.728.740.945),316.337.985.864,4.018.328.041.468,4253054173685.0,723664622864.0,-1274728740945.0,316337985864.0,4018328041468.0
