row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Nhận chí hộ phải trả (i),Ngắn hạn > Nhận chí hộ phải trả (i),Nhận chí hộ phải trả (i),143.122.554.158,12.686.352.098,143122554158.0,12686352098.0
"Nhận ký cược, ký quỹ","Ngắn hạn > Nhận ký cược, ký quỹ","Nhận ký cược, ký quỹ",33.217.045.523,33.106.857.764,33217045523.0,33106857764.0
Lệ phí trước bạ thu hộ,Ngắn hạn > Lệ phí trước bạ thu hộ,Lệ phí trước bạ thu hộ,16.950.525.698,33.043.031.971,16950525698.0,33043031971.0
Phải trả tiền hỗ trợ chuyển giao mặt bằng Dự án An Khánh - An Thượng (ii),Ngắn hạn > Phải trả tiền hỗ trợ chuyển giao mặt bằng Dự án An Khánh - An Thượng (ii),Phải trả tiền hỗ trợ chuyển giao mặt bằng Dự án An Khánh - An Thượng (ii),20.630.454.546,20.630.454.546,20630454546.0,20630454546.0
Quỹ bảo trì căn hộ (iii),Ngắn hạn > Quỹ bảo trì căn hộ (iii),Quỹ bảo trì căn hộ (iii),12.347.526.656,16.877.556.495,12347526656.0,16877556495.0
Phi dịch vụ môi trường rừng,Ngắn hạn > Phi dịch vụ môi trường rừng,Phi dịch vụ môi trường rừng,18.744.108.588,16.029.881.964,18744108588.0,16029881964.0
Phải trả lợi nhuận chia sẻ theo BCC,Ngắn hạn > Phải trả lợi nhuận chia sẻ theo BCC,Phải trả lợi nhuận chia sẻ theo BCC,10.202.767.947,9.366.641.280,10202767947.0,9366641280.0
Phải trả cổ tức,Ngắn hạn > Phải trả cổ tức,Phải trả cổ tức,11.438.611.070,8.924.205.571,11438611070.0,8924205571.0
Các khoản phải trả ngắn hạn khác,Ngắn hạn > Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,21.352.638.632,19.607.717.661,21352638632.0,19607717661.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,288.006.232.818,170.272.699.350,288006232818.0,170272699350.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả khác ngắn hạn các bên khác,Trong đó: > Phải trả khác ngắn hạn các bên khác,Phải trả khác ngắn hạn các bên khác,279.007.283.247,161.032.612.805,279007283247.0,161032612805.0
Phải trả khác ngắn hạn các bên liên quan(Thuyết minh số 32.2),Trong đó: > Phải trả khác ngắn hạn các bên liên quan(Thuyết minh số 32.2),Phải trả khác ngắn hạn các bên liên quan(Thuyết minh số 32.2),8.998.949.571,9.240.086.545,8998949571.0,9240086545.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Nhận đặt cọc cho thuê,Dài hạn > Nhận đặt cọc cho thuê,Nhận đặt cọc cho thuê,19.474.135.524,15.425.150.058,19474135524.0,15425150058.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,19.474.135.524,15.425.150.058,19474135524.0,15425150058.0
