row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị","Phương tiệnvận tải, truyền dẫn",Thiết bị văn phòng,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiệnvận tải, truyền dẫn",numeric__Thiết bị văn phòng,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,4.924.953.448.228,5.579.184.600.816,529.347.713.290,42.918.264.105,11.076.404.026.439,4924953448228.0,5579184600816.0,529347713290.0,42918264105.0,11076404026439.0
- Mua mới trong năm,Nguyên giá: > - Mua mới trong năm,- Mua mới trong năm,347.277.507,17.791.429.655,343.300.000,513.222.630,18.995.229.792,347277507.0,17791429655.0,343300000.0,513222630.0,18995229792.0
- Phân loại sang chi phí xây dựng cơ bản dở dang,Nguyên giá: > - Phân loại sang chi phí xây dựng cơ bản dở dang,- Phân loại sang chi phí xây dựng cơ bản dở dang,-,(18.247.543.114),-,-,(18.247.543.114),,-18247543114.0,,,-18247543114.0
- Phân loại lại,Nguyên giá: > - Phân loại lại,- Phân loại lại,28.427.956.006,-,-,(28.427.956.006),-,28427956006.0,,,-28427956006.0,
- Điều chỉnh khác,Nguyên giá: > - Điều chỉnh khác,- Điều chỉnh khác,-,(5.027.761.960),-,-,(5.027.761.960),,-5027761960.0,,,-5027761960.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,4.953.728.681.741,5.573.700.725.397,529.691.013.290,15.003.530.729,11.072.123.951.157,4953728681741.0,5573700725397.0,529691013290.0,15003530729.0,11072123951157.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,199.958.805.784,33.650.031.073,16.258.118.842,12.724.998.372,262.591.954.071,199958805784.0,33650031073.0,16258118842.0,12724998372.0,262591954071.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,1.055.336.062.968,1.494.119.314.278,139.676.252.274,31.960.235.734,2.721.091.865.254,1055336062968.0,1494119314278.0,139676252274.0,31960235734.0,2721091865254.0
- Khẩu hao trong năm,Giá trị hao mòn lũy kế: > - Khẩu hao trong năm,- Khẩu hao trong năm,171.247.765.585,281.889.058.995,22.816.635.118,349.208.014,476.302.667.712,171247765585.0,281889058995.0,22816635118.0,349208014.0,476302667712.0
- Phân loại sang chi phí xây dựng cơ bản dở dang,Giá trị hao mòn lũy kế: > - Phân loại sang chi phí xây dựng cơ bản dở dang,- Phân loại sang chi phí xây dựng cơ bản dở dang,-,(3.193.320.045),-,-,(3.193.320.045),,-3193320045.0,,,-3193320045.0
- Phân loại lại,Giá trị hao mòn lũy kế: > - Phân loại lại,- Phân loại lại,26.738.973.042,-,-,(18.676.356.872),8.062.616.170,26738973042.0,,,-18676356872.0,8062616170.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,1.253.322.801.595,1.772.815.053.228,162.492.887.392,13.633.086.876,3.202.263.829.091,1253322801595.0,1772815053228.0,162492887392.0,13633086876.0,3202263829091.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,3.869.617.385.260,4.085.065.286.538,389.671.461.016,10.958.028.371,8.355.312.161.185,3869617385260.0,4085065286538.0,389671461016.0,10958028371.0,8355312161185.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,3.700.405.880.146,3.800.885.672.169,367.198.125.898,1.370.443.853,7.869.860.122.066,3700405880146.0,3800885672169.0,367198125898.0,1370443853.0,7869860122066.0
