row_label_raw,row_label_full,col_0,Quyền đầu tư dự án thủy điện (*),Phần mềm máy tính,Đơn vị tính: VND Tổng cộng,numeric__Quyền đầu tư dự án thủy điện (*),numeric__Phần mềm máy tính,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,220.000.000.000,3.682.254.500,223.682.254.500,220000000000.0,3682254500.0,223682254500.0
- Tăng trong năm,Nguyên giá: > - Tăng trong năm,- Tăng trong năm,-,70.000.000,70.000.000,,70000000.0,70000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,220.000.000.000,3.752.254.500,223.752.254.500,220000000000.0,3752254500.0,223752254500.0
Trong đó Đã khấu hao hết:,Nguyên giá: > Trong đó Đã khấu hao hết:,Trong đó Đã khấu hao hết:,-,2.219.454.500,2.219.454.500,,2219454500.0,2219454500.0
Giá trị khấu lũy kế:,Giá trị khấu lũy kế:,Giá trị khấu lũy kế:,Giá trị khấu lũy kế:,Giá trị khấu lũy kế:,Giá trị khấu lũy kế:,,,
Số đầu năm,Giá trị khấu lũy kế: > Số đầu năm,Số đầu năm,28.378.313.210,2.539.213.937,30.917.527.147,28378313210.0,2539213937.0,30917527147.0
- Hao mòn trong năm,Giá trị khấu lũy kế: > - Hao mòn trong năm,- Hao mòn trong năm,8.799.509.725,253.097.795,9.052.607.520,8799509725.0,253097795.0,9052607520.0
Số cuối năm,Giá trị khấu lũy kế: > Số cuối năm,Số cuối năm,37.177.822.935,2.792.311.732,39.970.134.667,37177822935.0,2792311732.0,39970134667.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,191.621.686.790,1.143.040.563,192.764.727.353,191621686790.0,1143040563.0,192764727353.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,182.822.177.065,959.942.768,183.782.119.833,182822177065.0,959942768.0,183782119833.0
