row_label_raw,row_label_full,col_0,Đơn vị tính: VNDGiá trị hợp lý ghi nhận tại ngày mua,numeric__Đơn vị tính: VNDGiá trị hợp lý ghi nhận tại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,205.055.406,205055406.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,21.379.642.778,21379642778.0
Các tài sản ngắn hạn khác,Tài sản > Các tài sản ngắn hạn khác,Các tài sản ngắn hạn khác,1.235.273.757,1235273757.0
Chi phí xây dựng cơ bản dở dang,Tài sản > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,712.016.788.994,712016788994.0
,,,734.836.760.935,734836760935.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả người lao động,Nợ phải trả > Phải trả người lao động,Phải trả người lao động,11.090.682.181,11090682181.0
Phải trả người lao động,Nợ phải trả > Phải trả người lao động,Phải trả người lao động,554.114.741,554114741.0
Phải trả ngắn hạn khác,Nợ phải trả > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,44.879.270.147,44879270147.0
Chi phí phải trả ngắn hạn,Nợ phải trả > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,1.098.189.299,1098189299.0
Vay,Nợ phải trả > Vay,Vay,338.773.472.588,338773472588.0
Tổng tài sản thuần theo giá trị hợp lý,Nợ phải trả > Tổng tài sản thuần theo giá trị hợp lý,Tổng tài sản thuần theo giá trị hợp lý,338.441.031.979,338441031979.0
Lợi ích của cổ đông không kiểm soát,Nợ phải trả > Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,165.855.445.157,165855445157.0
Lợi thế thương mại,Nợ phải trả > Lợi thế thương mại,Lợi thế thương mại,39.252.884.478,39252884478.0
Tổng giá phí hợp nhất kinh doanh (*),Nợ phải trả > Tổng giá phí hợp nhất kinh doanh (*),Tổng giá phí hợp nhất kinh doanh (*),211.838.471.300,211838471300.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,205.055.406,205055406.0
Tiền chỉ để mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chỉ để mua công ty con,Tiền chỉ để mua công ty con,(178.497.418.733),-178497418733.0
Tổng tiền thuần đã chỉ từ nghiệp vụ mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tổng tiền thuần đã chỉ từ nghiệp vụ mua công ty con,Tổng tiền thuần đã chỉ từ nghiệp vụ mua công ty con,(178.292.363.327),-178292363327.0
