row_label_raw,row_label_full,Ông Lê Xuân Long,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Nguyễn Trọng Minh,Ông Nguyễn Trọng Minh,Ông Nguyễn Trọng Minh,Phó chủ tịch,,,
Ông Nguyễn Hoàng Trung,Ông Nguyễn Hoàng Trung,Ông Nguyễn Hoàng Trung,Thành viên,,,
Bà Cao Thị Tâm,Bà Cao Thị Tâm,Bà Cao Thị Tâm,Thành viên,,,
Bà Trần Thị Quỳnh Anh,Bà Trần Thị Quỳnh Anh,Bà Trần Thị Quỳnh Anh,Thành viên độc lập,,,
Ông Hoàng Đình Hùng,Ông Hoàng Đình Hùng,Ông Hoàng Đình Hùng,Thành viên độc lập,Miễn nhiệm ngày 26 tháng 4 năm 2025,,
