row_label_raw,row_label_full,Doanh thu,Kinh doanh Sân xuất và kinh doanh bất động sản,điện,"Kinh doanh hoạt động xây lắp, cho thuê và các hoạt động khác",Điều chỉnh và loại trừ,Đơn vị tính: VND,numeric__Kinh doanh Sân xuất và kinh doanh bất động sản,numeric__điện,"numeric__Kinh doanh hoạt động xây lắp, cho thuê và các hoạt động khác",numeric__Điều chỉnh và loại trừ,numeric__Đơn vị tính: VND
Doanh thu bán hàng nội bộ,Doanh thu bán hàng nội bộ,Doanh thu bán hàng nội bộ,,,14.532.231.633,(14.532.231.633),,,,14532231633.0,-14532231633.0,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,414.828.625.536,1.891.067.812.731,411.716.738.589,,2.717.613.176.856,414828625536.0,1891067812731.0,411716738589.0,,2717613176856.0
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,414.828.625.536,1.891.067.812.731,426.248.970.222,(14.532.231.633),2.717.613.176.856,414828625536.0,1891067812731.0,426248970222.0,-14532231633.0,2717613176856.0
Kết quả,Kết quả,Kết quả,,,,,,,,,,
Lợi nhuận gộp/(lỗ) trước thuế của bộ phận,Kết quả > Lợi nhuận gộp/(lỗ) trước thuế của bộ phận,Lợi nhuận gộp/(lỗ) trước thuế của bộ phận,163.724.925.609,1.260.894.723.633,173.059.179.511,(6.991.272.199),1.590.687.556.553,163724925609.0,1260894723633.0,173059179511.0,-6991272199.0,1590687556553.0
Chi phí không phân bổ (i),Kết quả > Chi phí không phân bổ (i),Chi phí không phân bổ (i),,,,,(358.398.512.719),,,,,-358398512719.0
Lợi nhuận/(lỗ) trước thuế,Kết quả > Lợi nhuận/(lỗ) trước thuế,Lợi nhuận/(lỗ) trước thuế,,,,,572.855.047.110,,,,,572855047110.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,,,,,(125.583.993.109),,,,,-125583993109.0
Lợi nhuận/(lỗ) thuần sau thuế,Kết quả > Lợi nhuận/(lỗ) thuần sau thuế,Lợi nhuận/(lỗ) thuần sau thuế,,,,,447.271.054.001,,,,,447271054001.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,2.047.326.110.398,9.084.365.845.655,1.284.749.785.666,,12.416.441.741.719,2047326110398.0,9084365845655.0,1284749785666.0,,12416441741719.0
Tài sản không phân bổ (ii),Tài sản và công nợ > Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),,,,1.432.921.577.772,1.432.921.577.772,,,,1432921577772.0,1432921577772.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,2.047.326.110.398,9.084.365.845.655,1.284.749.785.666,1.432.921.577.772,13.849.363.319.491,2047326110398.0,9084365845655.0,1284749785666.0,1432921577772.0,13849363319491.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,925.807.995.280,240.320.122.157,58.699.940.552,,1.224.828.057.989,925807995280.0,240320122157.0,58699940552.0,,1224828057989.0
Công nợ không phân bổ (iii),Tài sản và công nợ > Công nợ không phân bổ (iii),Công nợ không phân bổ (iii),,,,5.248.554.256.042,5.248.554.256.042,,,,5248554256042.0,5248554256042.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,925.807.995.280,240.320.122.157,58.699.940.552,5.248.554.256.042,6.473.382.314.031,925807995280.0,240320122157.0,58699940552.0,5248554256042.0,6473382314031.0
