row_label_raw,row_label_full,col_0,Kinh doanhbất động sản,Sản xuất và kinhdoanh điện,"Kinh doanh hoạt độngxãy lắp, cho thuê vàcác hoạt động khác",Điều chỉnh và loại trừ,Đơn vị tính: VNDTổng cộng,numeric__Kinh doanhbất động sản,numeric__Sản xuất và kinhdoanh điện,"numeric__Kinh doanh hoạt độngxãy lắp, cho thuê vàcác hoạt động khác",numeric__Điều chỉnh và loại trừ,numeric__Đơn vị tính: VNDTổng cộng
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu bán hàng nội bộ,Doanh thu > Doanh thu bán hàng nội bộ,Doanh thu bán hàng nội bộ,-,-,4.634.478.086,(4.634.478.086),-,,,4634478086.0,-4634478086.0,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,18.034.064.768,2.274.165.198.330,494.341.175.291,-,2.786.540.438.389,18034064768.0,2274165198330.0,494341175291.0,,2786540438389.0
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,18.034.064.768,2.274.165.198.330,498.975.653.377,(4.634.478.086),2.786.540.438.389,18034064768.0,2274165198330.0,498975653377.0,-4634478086.0,2786540438389.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận gộp/(lỗ) trước thuế của bộphận,Kết quả > Lợi nhuận gộp/(lỗ) trước thuế của bộphận,Lợi nhuận gộp/(lỗ) trước thuế của bộphận,(63.632.561.868),1.644.002.342.485,169.639.838.786,(4.009.269.433),1.746.000.349.970(382.990.878.747),-63632561868.0,1644002342485.0,169639838786.0,-4009269433.0,
Chỉ phí không phân bổ (i),Kết quả > Chỉ phí không phân bổ (i),Chỉ phí không phân bổ (i),,,,,1.070.461.464.568,,,,,1070461464568.0
Lợi nhuận/(lỗ) trước thuế,Kết quả > Lợi nhuận/(lỗ) trước thuế,Lợi nhuận/(lỗ) trước thuế,,,,,(76.992.475.975),,,,,-76992475975.0
Chỉ phí thuế TNDN,Kết quả > Chỉ phí thuế TNDN,Chỉ phí thuế TNDN,,,,,993.468.988.593,,,,,993468988593.0
Lợi nhuận/(lỗ) thuần sau thuế,Lợi nhuận/(lỗ) thuần sau thuế,Lợi nhuận/(lỗ) thuần sau thuế,,,,,,,,,,
Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,,,,,
Tải sản bộ phận,Tải sản và công nợ > Tải sản bộ phận,Tải sản bộ phận,1.972.801.652.787,9.687.249.319.501,1.289.257.179.824,-,12.949.308.152.112,1972801652787.0,9687249319501.0,1289257179824.0,,12949308152112.0
Tải sản không phân bổ (ii),Tải sản và công nợ > Tải sản không phân bổ (ii),Tải sản không phân bổ (ii),,,,1.736.581.997.362,1.736.581.997.362,,,,1736581997362.0,1736581997362.0
Tổng tài sản,Tải sản và công nợ > Tổng tài sản,Tổng tài sản,1.972.801.652.787,9.687.249.319.501,1.289.257.179.824,1.736.581.997.362,14.685.890.149.474,1972801652787.0,9687249319501.0,1289257179824.0,1736581997362.0,14685890149474.0
Công nợ bộ phận,Tải sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,876.577.881.216,274.569.220.645,121.894.891.025,-,1.273.041.992.886,876577881216.0,274569220645.0,121894891025.0,,1273041992886.0
Công nợ không phân bổ (iii),Tải sản và công nợ > Công nợ không phân bổ (iii),Công nợ không phân bổ (iii),,,,5.014.465.455.396,5.014.465.455.396,,,,5014465455396.0,5014465455396.0
Tổng công nợ,Tải sản và công nợ > Tổng công nợ,Tổng công nợ,876.577.881.216,274.569.220.645,121.894.891.025,5.014.465.455.396,6.287.507.448.282,876577881216.0,274569220645.0,121894891025.0,5014465455396.0,6287507448282.0
