row_label_raw,row_label_full,Ông Nguyễn Trọng Minh,Tổng giám đốc,numeric__Tổng giám đốc
Ông Lê Xuân Tuấn,Ông Lê Xuân Tuấn,Ông Lê Xuân Tuấn,Phó Tổng Giám đốc,
Ông Trần Tiến Dũng,Ông Trần Tiến Dũng,Ông Trần Tiến Dũng,Phó Tổng Giám đốc,
