row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Ông Lê Xuân Long,Ông Lê Xuân Long,Ông Lê Xuân Long,Chủ tịch HĐQT,Phải thu chuyển nhượng BĐS,769.417.000,769.417.000,,,769417000.0,769417000.0
Ông Nguyễn Trọng Thông,Ông Nguyễn Trọng Thông,Ông Nguyễn Trọng Thông,Người có mối quan hệ mật thiết với thành viên HĐQT,Phải thu chuyển nhượng BĐS,643.142.000,643.142.000,,,643142000.0,643142000.0
Bà Hoàng Thị Phương Điều,Bà Hoàng Thị Phương Điều,Bà Hoàng Thị Phương Điều,Người có mối quan hệ gia đình mật thiết với thành viên HĐQT,Phải thu chuyển nhượng BĐS,617.896.000,617.896.000,,,617896000.0,617896000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.030.455.000,2.030.455.000,,,2030455000.0,2030455000.0
Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),,,,
Ông Nguyễn Trọng Minh,Phải thu ngắn hạn khác (Thuyết minh số 9) > Ông Nguyễn Trọng Minh,Ông Nguyễn Trọng Minh,Phó Chủ tịch HĐQT kiểm Tổng Giám đốc,Tạm ứng,14.000.000.000,-,,,14000000000.0,
Ông Lê Xuân Tuấn,Phải thu ngắn hạn khác (Thuyết minh số 9) > Ông Lê Xuân Tuấn,Ông Lê Xuân Tuấn,Phó Tổng Giám Đốc,Tạm ứng,1.350.000.000,-,,,1350000000.0,
Các bên liên quan khác,Phải thu ngắn hạn khác (Thuyết minh số 9) > Các bên liên quan khác,Các bên liên quan khác,,Tạm ứng,-,756.308.685,,,,756308685.0
TỔNG CỘNG,Phải thu ngắn hạn khác (Thuyết minh số 9) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,15.350.000.000,756.308.685,,,15350000000.0,756308685.0
Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),,,,
Công ty Cổ phần Đầu tư An Lạc,Phải trả người bán ngắn hạn (Thuyết minh số 18.1) > Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Chung thành viên gia đình mật thiết của thành viên HĐQT kiểm Tổng Giám đốc,Phải trả về phí dịch vụ thi công,2.019.545.459,2.019.545.459,,,2019545459.0,2019545459.0
TỔNG CỘNG,Phải trả người bán ngắn hạn (Thuyết minh số 18.1) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.019.545.459,2.019.545.459,,,2019545459.0,2019545459.0
