row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND,numeric__Số cuối năm,numeric__Đơn vị tính: VND
Công ty Cổ phần Đầu tư và Xây dựng 24,Công ty Cổ phần Đầu tư và Xây dựng 24,Công ty Cổ phần Đầu tư và Xây dựng 24,19.210.854.108,19.210.854.108,19210854108.0,19210854108.0
Công ty Cổ phần Đầu tư Xây dựng An Phát,Công ty Cổ phần Đầu tư Xây dựng An Phát,Công ty Cổ phần Đầu tư Xây dựng An Phát,13.682.307.192,-,13682307192.0,
Tổng Công ty Xây dựng Lũng Lô,Tổng Công ty Xây dựng Lũng Lô,Tổng Công ty Xây dựng Lũng Lô,11.810.684.520,11.810.684.520,11810684520.0,11810684520.0
Công ty Cổ phần Xây dựng Công trình ngầm Vinavico,Công ty Cổ phần Xây dựng Công trình ngầm Vinavico,Công ty Cổ phần Xây dựng Công trình ngầm Vinavico,7.577.137.725,7.577.137.725,7577137725.0,7577137725.0
Trả trước ngắn hạn cho các đối tượng khác,Trả trước ngắn hạn cho các đối tượng khác,Trả trước ngắn hạn cho các đối tượng khác,51.162.238.922,54.035.791.593,51162238922.0,54035791593.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,103.443.222.467,92.634.467.946,103443222467.0,92634467946.0
Dự phòng trả trước cho người bán ngắn hạn khó thu hồi,Dự phòng trả trước cho người bán ngắn hạn khó thu hồi,Dự phòng trả trước cho người bán ngắn hạn khó thu hồi,(52.440.479.479),(51.047.068.818),-52440479479.0,-51047068818.0
Dài hạn,Dài hạn,Dài hạn,,,,
"Công ty Cổ phần Phát triển Đô thị Từ Liêm (""Công ty Từ Liêm"") (i)","Dài hạn > Công ty Cổ phần Phát triển Đô thị Từ Liêm (""Công ty Từ Liêm"") (i)","Công ty Cổ phần Phát triển Đô thị Từ Liêm (""Công ty Từ Liêm"") (i)",150.041.724.396,147.752.024.741,150041724396.0,147752024741.0
Công ty TNHH Một thành viên 756 (ii),Dài hạn > Công ty TNHH Một thành viên 756 (ii),Công ty TNHH Một thành viên 756 (ii),117.000.000.000,117.000.000.000,117000000000.0,117000000000.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,267.041.724.396,264.752.024.741,267041724396.0,264752024741.0
