row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 26.840.750.147,Số phải nộp/cấn trừ trong năm > 234.209.181.266,Số đã nộp trong năm > (242.652.361.016),Đơn vị tính: VND > 18.397.570.397,numeric__Số đầu năm > 26.840.750.147,numeric__Số phải nộp/cấn trừ trong năm > 234.209.181.266,numeric__Số đã nộp trong năm > (242.652.361.016),numeric__Đơn vị tính: VND > 18.397.570.397
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,56.660.243.354,80.422.416.334,(95.252.123.543),41.830.536.145,56660243354.0,80422416334.0,-95252123543.0,41830536145.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.310.011.743,11.747.031.142,(10.875.858.683),2.181.184.202,1310011743.0,11747031142.0,-10875858683.0,2181184202.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,16.967.144.515,159.332.128.656,(155.906.530.912),20.392.742.259,16967144515.0,159332128656.0,-155906530912.0,20392742259.0
Tiền sử dụng đất,Tiền sử dụng đất,Tiền sử dụng đất,-,133.353.375.677,(133.353.375.677),-,,133353375677.0,-133353375677.0,
Thuế và các khoản phải nộp Nhà nước khác,Thuế và các khoản phải nộp Nhà nước khác,Thuế và các khoản phải nộp Nhà nước khác,1.399.388.877,22.682.617.640,(23.472.462.522),609.543.995,1399388877.0,22682617640.0,-23472462522.0,609543995.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,103.177.538.636,641.746.750.715,(661.512.712.353),83.411.576.998,103177538636.0,641746750715.0,-661512712353.0,83411576998.0
20. CHI PHÍ PHẢI TRÀ NGÂN HẠN,20. CHI PHÍ PHẢI TRÀ NGÂN HẠN,20. CHI PHÍ PHẢI TRÀ NGÂN HẠN,20. CHI PHÍ PHẢI TRÀ NGÂN HẠN,20. CHI PHÍ PHẢI TRÀ NGÂN HẠN,20. CHI PHÍ PHẢI TRÀ NGÂN HẠN,20. CHI PHÍ PHẢI TRÀ NGÂN HẠN,,,,
,,,,,Số cuối năm,Đơn vị tính: VND,,,,
,,,,,Số cuối năm,Số đầu năm,,,,
Trích trước chi phí xây dựng và tiền sử dụng đất của các dự án bất động sản đã bàn giao,20. CHI PHÍ PHẢI TRÀ NGÂN HẠN > Trích trước chi phí xây dựng và tiền sử dụng đất của các dự án bất động sản đã bàn giao,Trích trước chi phí xây dựng và tiền sử dụng đất của các dự án bất động sản đã bàn giao,Trích trước chi phí xây dựng và tiền sử dụng đất của các dự án bất động sản đã bàn giao,Trích trước chi phí xây dựng và tiền sử dụng đất của các dự án bất động sản đã bàn giao,768.691.665.187,835.019.809.627,,,768691665187.0,835019809627.0
- Dự án An Khánh - An Thượng,20. CHI PHÍ PHẢI TRÀ NGÂN HẠN > - Dự án An Khánh - An Thượng,- Dự án An Khánh - An Thượng,- Dự án An Khánh - An Thượng,- Dự án An Khánh - An Thượng,493.436.362.565,418.487.589.872,,,493436362565.0,418487589872.0
- Dự án Hà Đô Centrosa Garden,20. CHI PHÍ PHẢI TRÀ NGÂN HẠN > - Dự án Hà Đô Centrosa Garden,- Dự án Hà Đô Centrosa Garden,- Dự án Hà Đô Centrosa Garden,- Dự án Hà Đô Centrosa Garden,161.868.582.325,161.868.582.325,,,161868582325.0,161868582325.0
- Khu biệt thự Sư Vạn Hạnh,20. CHI PHÍ PHẢI TRÀ NGÂN HẠN > - Khu biệt thự Sư Vạn Hạnh,- Khu biệt thự Sư Vạn Hạnh,- Khu biệt thự Sư Vạn Hạnh,- Khu biệt thự Sư Vạn Hạnh,90.743.779.901,103.457.143.456,,,90743779901.0,103457143456.0
"- Dự án nhà ở Quận 12, thành phố Hồ Chí Minh","20. CHI PHÍ PHẢI TRÀ NGÂN HẠN > - Dự án nhà ở Quận 12, thành phố Hồ Chí Minh","- Dự án nhà ở Quận 12, thành phố Hồ Chí Minh","- Dự án nhà ở Quận 12, thành phố Hồ Chí Minh","- Dự án nhà ở Quận 12, thành phố Hồ Chí Minh",11.488.730.832,140.052.284.410,,,11488730832.0,140052284410.0
"- Dự án chung cư CC1 Dịch Vọng, Hà Nội","20. CHI PHÍ PHẢI TRÀ NGÂN HẠN > - Dự án chung cư CC1 Dịch Vọng, Hà Nội","- Dự án chung cư CC1 Dịch Vọng, Hà Nội","- Dự án chung cư CC1 Dịch Vọng, Hà Nội","- Dự án chung cư CC1 Dịch Vọng, Hà Nội",7.843.113.423,7.843.113.423,,,7843113423.0,7843113423.0
- Dự án nhà N10 khu đô thị mới Dịch Vọng,20. CHI PHÍ PHẢI TRÀ NGÂN HẠN > - Dự án nhà N10 khu đô thị mới Dịch Vọng,- Dự án nhà N10 khu đô thị mới Dịch Vọng,- Dự án nhà N10 khu đô thị mới Dịch Vọng,- Dự án nhà N10 khu đô thị mới Dịch Vọng,3.311.096.141,3.311.096.141,,,3311096141.0,3311096141.0
Trích trước chi phí xây dựng tài sản,20. CHI PHÍ PHẢI TRÀ NGÂN HẠN > Trích trước chi phí xây dựng tài sản,Trích trước chi phí xây dựng tài sản,Trích trước chi phí xây dựng tài sản,Trích trước chi phí xây dựng tài sản,10.331.417.675,15.697.768.795,,,10331417675.0,15697768795.0
Trích trước chi phí lãi vay,20. CHI PHÍ PHẢI TRÀ NGÂN HẠN > Trích trước chi phí lãi vay,Trích trước chi phí lãi vay,Trích trước chi phí lãi vay,Trích trước chi phí lãi vay,14.699.058.798,17.398.063.543,,,14699058798.0,17398063543.0
Các chi phí phải trả ngắn hạn khác,20. CHI PHÍ PHẢI TRÀ NGÂN HẠN > Các chi phí phải trả ngắn hạn khác,Các chi phí phải trả ngắn hạn khác,Các chi phí phải trả ngắn hạn khác,Các chi phí phải trả ngắn hạn khác,8.781.779.192,6.834.588.640,,,8781779192.0,6834588640.0
TỔNG CỘNG,20. CHI PHÍ PHẢI TRÀ NGÂN HẠN > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,802.503.920.852,874.950.230.605,,,802503920852.0,874950230605.0
