row_label_raw,row_label_full,05. Chi phí trả trước,Cuối năm,Đầu năm,numeric__Cuối năm,numeric__Đầu năm
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,36.833.357.203,13.501.035.696,36833357203.0,13501035696.0
Công cụ dụng cụ chờ phân bổ,Công cụ dụng cụ chờ phân bổ,Công cụ dụng cụ chờ phân bổ,7.327.437.609,10.344.682.621,7327437609.0,10344682621.0
Chi phí sửa chữa,Chi phí sửa chữa,Chi phí sửa chữa,3.776.397.768,1.770.650.688,3776397768.0,1770650688.0
Chi phí trợ cấp mất việc làm,Chi phí trợ cấp mất việc làm,Chi phí trợ cấp mất việc làm,13.926.932.312,0,13926932312.0,0.0
Chi phí trả trước khác,Chi phí trả trước khác,Chi phí trả trước khác,11.802.589.514,1.385.702.387,11802589514.0,1385702387.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,1.020.452.095.873,531.522.401.927,1020452095873.0,531522401927.0
Công cụ dụng cụ chờ phân bổ,Công cụ dụng cụ chờ phân bổ,Công cụ dụng cụ chờ phân bổ,88.357.987.267,91.127.767.986,88357987267.0,91127767986.0
Chi phí sửa chữa,Chi phí sửa chữa,Chi phí sửa chữa,39.952.451.206,51.046.001.879,39952451206.0,51046001879.0
Chi phí thành lập doanh nghiệp,Chi phí thành lập doanh nghiệp,Chi phí thành lập doanh nghiệp,1.768.675.979,2.247.939.924,1768675979.0,2247939924.0
Chi phí trợ cấp mất việc làm,Chi phí trợ cấp mất việc làm,Chi phí trợ cấp mất việc làm,14.481.586.058,0,14481586058.0,0.0
Giá trị lợi thế kinh doanh,Giá trị lợi thế kinh doanh,Giá trị lợi thế kinh doanh,5.100.000.000,5.400.000.000,5100000000.0,5400000000.0
Chi phí trả trước khác,Chi phí trả trước khác,Chi phí trả trước khác,870.791.395.363,381.700.692.138,870791395363.0,381700692138.0
