row_label_raw,row_label_full,Stt,Tên công ty,Bảo cáo tài chính tham gia hợp nhất,Đơn vị kiểm toán,Ý kiến Kiểm toán viên trên Báo cáo kiểm toán,numeric__Tên công ty,numeric__Bảo cáo tài chính tham gia hợp nhất,numeric__Đơn vị kiểm toán,numeric__Ý kiến Kiểm toán viên trên Báo cáo kiểm toán
29,29,29,Công ty Cổ phần VRG - Bảo Lộc,Bảo cáo tài chính,AASCs,Chấp nhận toàn bộ,,,,
30,30,30,Công ty Cổ phần VRG – Đắk Nông,Bảo cáo tài chính,AASC,Chấp nhận toàn bộ,,,,
31,31,31,Công ty Cổ phần Công nghiệp và XNK Cao su,Bảo cáo tài chính hợp nhất,AASCs,Chấp nhận toàn bộ,,,,
32,32,32,Công ty Cổ phần Thể thao Ngôi Sao Geru,Bảo cáo tài chính,AVA,Chấp nhận toàn bộ,,,,
33,33,33,Công ty Cổ phần Khu công nghiệp Hồ Nai,Bảo cáo tài chính,A&C,Ý kiến ngoại trừ,,,,
34,34,34,Công ty Cổ phần gỗ MDF VRG Quảng Trị,Bảo cáo tài chính,AVINA-IAFC,Chấp nhận toàn bộ,,,,
35,35,35,Công ty Cổ phần Cao su Phước Hòa,Bảo cáo tài chính riêng,AVA,Chấp nhận toàn bộ,,,,
36,36,36,Công ty Cổ phần Cao su Việt Lào,Bảo cáo tài chính hợp nhất,AVA,Chấp nhận toàn bộ,,,,
37,37,37,Công ty Cổ phần Cao su Hòa Bình,Bảo cáo tài chính,AVA,Chấp nhận toàn bộ,,,,
38,38,38,Công ty Cổ phần Cao su Hàng Gòn,Bảo cáo tài chính,AVA,Chấp nhận toàn bộ,,,,
39,39,39,Công ty Cổ phần Quasa – Geruco,Bảo cáo tài chính hợp nhất,AVA,Chấp nhận toàn bộ,,,,
40,40,40,Công ty Cổ phần TM Dịch vụ & Du lịch Cao su Công ty Cổ phần Phát triển Đô thị và KCN Cao su Việt Nam,Bảo cáo tài chính hợp nhất,A&C,Chấp nhận toàn bộ,,,,
41,41,41,Công ty Cổ phần Khu công nghiệp Nam Tân Uyên,Bảo cáo tài chính,A&C,Ý kiến ngoại trừ,,,,
42,42,42,Công ty Cổ phần Chế biến Gỗ Thuận An,Bảo cáo tài chính,AASC,Ý kiến ngoại trừ,,,,
43,43,43,Công ty Cổ phần Gỗ Dầu Tiếng Công ty Cổ phần Du lịch Thương mại Khách sạn Hưng Yên,Bảo cáo tài chính,AVA,Chấp nhận toàn bộ,,,,
44,44,44,Công ty Cổ phần Gỗ Dầu Tiếng Công ty Cổ phần Du lịch Thương mại Khách sạn Hưng Yên,Bảo cáo tài chính,AASC,Chấp nhận toàn bộ,,,,
45,45,45,Công ty Cổ phần Gỗ Dầu Tiếng Công ty Cổ phần Du lịch Thương mại Khách sạn Hưng Yên,Bảo cáo tài chính,AVINA-IAFC,Ý kiến ngoại trừ,,,,
46,46,46,Công ty Cổ phần Cơ khí Cao Su Công ty Cổ phần Cao su Đồng Phú,Bảo cáo tài chính riêng,AASC,Ý kiến ngoại trừ,,,,
47,47,47,Công ty Cổ phần Cơ khí Cao Su Công ty Cổ phần Cao su Đồng Phú,Bảo cáo tài chính riêng,AVA,Chấp nhận toàn bộ,,,,
48,48,48,Công ty Cổ phần Cao su Tây Ninh Công ty Cổ phần Cao su Tây La Công ty Cổ phần Cao Su Điện Biên,Bảo cáo tài chính riêng,AASC,Chấp nhận toàn bộ,,,,
49,49,49,Công ty Cổ phần Cao su Tây Ninh Công ty Cổ phần Cao su Tây La Công ty Cổ phần Cao Su Điện Biên,Bảo cáo tài chính,AVA,Chấp nhận toàn bộ,,,,
50,50,50,Công ty Cổ phần Cao su Tây Ninh Công ty Cổ phần Cao su Tây La Công ty Cổ phần Cao Su Điện Biên,Bảo cáo tài chính,AASC,Ý kiến ngoại trừ,,,,
