row_label_raw,row_label_full,Nhóm tài sản,Số năm khấu hao,numeric__Số năm khấu hao
"- Nhà cửa, vật kiến trúc","- Nhà cửa, vật kiến trúc","- Nhà cửa, vật kiến trúc",05 – 25,
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,Theo thời hạn quyền sử dụng đất,
