row_label_raw,row_label_full,Khác,Giá trị,Dự phòng,Giá trị_1,Dự phòng_1,numeric__Giá trị,numeric__Dự phòng,numeric__Giá trị_1,numeric__Dự phòng_1
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,891.924.487.692,(61.775.372.747),967.578.030.810,(137.283.032.161),891924487692.0,-61775372747.0,967578030810.0,-137283032161.0
- Tạm ứng,- Tạm ứng,- Tạm ứng,105.594.130.971,0,122.550.438.074,0,105594130971.0,0.0,122550438074.0,0.0
"- Ký quỹ, ký cược","- Ký quỹ, ký cược","- Ký quỹ, ký cược",64.235.151.426,0,14.283.439.732,0,64235151426.0,0.0,14283439732.0,0.0
- Phải thu khác,- Phải thu khác,- Phải thu khác,722.095.205.295,(61.775.372.747),830.744.153.004,(137.283.032.161),722095205295.0,-61775372747.0,830744153004.0,-137283032161.0
Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,425.810,0,0,0,425810.0,0.0,0.0,0.0
"Phải thu cổ tức, lợi nhuận được chia","Phải thu cổ tức, lợi nhuận được chia","Phải thu cổ tức, lợi nhuận được chia",139.474.797.502,0,6.785.520.000,0,139474797502.0,0.0,6785520000.0,0.0
Phải thu người lao động,Phải thu người lao động,Phải thu người lao động,28.644.698.330,0,954.515.161,0,28644698330.0,0.0,954515161.0,0.0
Phải thu khác,Phải thu khác,Phải thu khác,553.975.283.653,(61.775.372.747),823.004.117.843,(137.283.032.161),553975283653.0,-61775372747.0,823004117843.0,-137283032161.0
b. Dải hạn,b. Dải hạn,b. Dải hạn,435.516.097.513,(22.791.000.000),268.857.707.496,0,435516097513.0,-22791000000.0,268857707496.0,0.0
- Tạm ứng,- Tạm ứng,- Tạm ứng,0,0,0,0,0.0,0.0,0.0,0.0
"- Ký quỹ, ký cược","- Ký quỹ, ký cược","- Ký quỹ, ký cược",63.343.573.667,0,169.249.481.060,0,63343573667.0,0.0,169249481060.0,0.0
- Phải thu khác,- Phải thu khác,- Phải thu khác,372.172.523.846,(22.791.000.000),99.608.226.436,0,372172523846.0,-22791000000.0,99608226436.0,0.0
Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,199.796.293,0,0,0,199796293.0,0.0,0.0,0.0
Phải thu khác,Phải thu khác,Phải thu khác,371.972.727.553,(22.791.000.000),99.608.226.436,0,371972727553.0,-22791000000.0,99608226436.0,0.0
