row_label_raw,row_label_full,Khoản mục,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",1.905.691.455.724,0,1.905.691.455.724,1.788.277.808.159,0,1.788.277.808.159,1905691455724.0,0.0,1905691455724.0,1788277808159.0,0.0,1788277808159.0
Công ty Cổ phần Thống Nhất,Công ty Cổ phần Thống Nhất,Công ty Cổ phần Thống Nhất,48.730.575.212,,48.730.575.212,47.744.994.475,,47.744.994.475,48730575212.0,,48730575212.0,47744994475.0,,47744994475.0
Công ty Cổ phần Đầu tư Xây dựng Cao su,Công ty Cổ phần Đầu tư Xây dựng Cao su,Công ty Cổ phần Đầu tư Xây dựng Cao su,33.518.805.658,,33.518.805.658,35.209.091.045,,35.209.091.045,33518805658.0,,33518805658.0,35209091045.0,,35209091045.0
Công ty Cổ phần Xây dựng & Tư vấn Đầu tư,Công ty Cổ phần Xây dựng & Tư vấn Đầu tư,Công ty Cổ phần Xây dựng & Tư vấn Đầu tư,12.378.290.862,,12.378.290.862,12.501.005.908,,12.501.005.908,12378290862.0,,12378290862.0,12501005908.0,,12501005908.0
Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,8.677.474.636,,8.677.474.636,8.637.759.615,,8.637.759.615,8677474636.0,,8677474636.0,8637759615.0,,8637759615.0
Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,44.053.923.680,,44.053.923.680,53.609.578.427,,53.609.578.427,44053923680.0,,44053923680.0,53609578427.0,,53609578427.0
Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,32.176.178.543,,32.176.178.543,40.231.232.725,,40.231.232.725,32176178543.0,,32176178543.0,40231232725.0,,40231232725.0
Công ty Cổ phần gỗ MDF VRG – Dongwha,Công ty Cổ phần gỗ MDF VRG – Dongwha,Công ty Cổ phần gỗ MDF VRG – Dongwha,1.017.622.840.663,,1.017.622.840.663,811.536.627.237,,811.536.627.237,1017622840663.0,,1017622840663.0,811536627237.0,,811536627237.0
Công ty Đầu tư Phát triển VRG Long Thành,Công ty Đầu tư Phát triển VRG Long Thành,Công ty Đầu tư Phát triển VRG Long Thành,36.748.561.253,,36.748.561.253,31.383.184.389,,31.383.184.389,36748561253.0,,36748561253.0,31383184389.0,,31383184389.0
Công ty Cổ phần Đầu tư Sài Gòn VRG,Công ty Cổ phần Đầu tư Sài Gòn VRG,Công ty Cổ phần Đầu tư Sài Gòn VRG,237.282.908.680,,237.282.908.680,269.182.740.186,,269.182.740.186,237282908680.0,,237282908680.0,269182740186.0,,269182740186.0
Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,95.141.664.658,,95.141.664.658,92.680.940.846,,92.680.940.846,95141664658.0,,95141664658.0,92680940846.0,,92680940846.0
Công ty Cổ phần Xây dựng - Địa ốc Cao su,Công ty Cổ phần Xây dựng - Địa ốc Cao su,Công ty Cổ phần Xây dựng - Địa ốc Cao su,16.952.073.050,,16.952.073.050,16.420.534.429,,16.420.534.429,16952073050.0,,16952073050.0,16420534429.0,,16420534429.0
