row_label_raw,row_label_full,Khoản mục > Giá trị hao mòn lũy kế > Số dư đầu năm > - Khấu hao trong năm,"Nhà cửa,vật kiến trúc > 3.092.759.028.354 > 524.627.682.413",Máy móc thiết bị > 1.678.053.602.993 > 250.978.242.983,Phương tiện vậntài truyền dẫn > 847.860.381.981 > 116.447.073.083,Thiết bị dụng cụquản lý > 72.944.641.958 > 17.791.386.338,Tài sảncó định khác > 2.644.967.422.104 > 315.089.507.823,Cộng > 8.336.585.077.390 > 1.224.933.892.640,"numeric__Nhà cửa,vật kiến trúc > 3.092.759.028.354 > 524.627.682.413",numeric__Máy móc thiết bị > 1.678.053.602.993 > 250.978.242.983,numeric__Phương tiện vậntài truyền dẫn > 847.860.381.981 > 116.447.073.083,numeric__Thiết bị dụng cụquản lý > 72.944.641.958 > 17.791.386.338,numeric__Tài sảncó định khác > 2.644.967.422.104 > 315.089.507.823,numeric__Cộng > 8.336.585.077.390 > 1.224.933.892.640
- Tăng khác,- Tăng khác,- Tăng khác,5.101.607.727,225.940.414,2.126.996.275,895.700.021,191.522.739,8.541.767.176,5101607727.0,225940414.0,2126996275.0,895700021.0,191522739.0,8541767176.0
- Tăng do chuyển đổi BCTC,- Tăng do chuyển đổi BCTC,- Tăng do chuyển đổi BCTC,8.402.431.215,775.003.659,2.486.716.478,67.939.905,257.595.400,11.989.686.657,8402431215.0,775003659.0,2486716478.0,67939905.0,257595400.0,11989686657.0
- Tăng do phân loại lại,- Tăng do phân loại lại,- Tăng do phân loại lại,,,19.450.961.458,6.297.549.282,204.502.387,25.953.013.127,,,19450961458.0,6297549282.0,204502387.0,25953013127.0
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(27.525.933.783),(19.463.722.340),(17.498.854.952),(1.953.734.410),(371.445.086.612),(437.887.332.097),-27525933783.0,-19463722340.0,-17498854952.0,-1953734410.0,-371445086612.0,-437887332097.0
- Bàn giao địa phương,- Bàn giao địa phương,- Bàn giao địa phương,(197.768.911.697),(6.642.112.232),,,,(204.411.023.929),-197768911697.0,-6642112232.0,,,,-204411023929.0
- Giảm khác,- Giảm khác,- Giảm khác,(159.835.055.318),(5.919.817.675),(5.892.392.394),(3.203.022.792),(142.693.747),(174.992.981.926),-159835055318.0,-5919817675.0,-5892392394.0,-3203022792.0,-142693747.0,-174992981926.0
- Giảm do chuyển đổi BCTC,- Giảm do chuyển đổi BCTC,- Giảm do chuyển đổi BCTC,(8.903.462.418),(899.986.466),(1.799.443.240),(148.187.698),(5.703.513.020),(17.454.592.842),-8903462418.0,-899986466.0,-1799443240.0,-148187698.0,-5703513020.0,-17454592842.0
- Giảm do phân loại lại,- Giảm do phân loại lại,- Giảm do phân loại lại,(23.802.206.573),(2.150.806.554),,,,(25.953.013.127),-23802206573.0,-2150806554.0,,,,-25953013127.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,3.213.055.179.920,1.894.956.344.782,963.181.438.689,92.692.272.604,2.583.419.257.074,8.747.304.493.069,3213055179920.0,1894956344782.0,963181438689.0,92692272604.0,2583419257074.0,8747304493069.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,,,
- Tại ngày đầu năm,Giá trị còn lại > - Tại ngày đầu năm,- Tại ngày đầu năm,5.635.544.148.884,1.418.571.184.580,598.390.786.812,28.058.653.101,5.040.671.939.594,12.721.236.712.971,5635544148884.0,1418571184580.0,598390786812.0,28058653101.0,5040671939594.0,12721236712971.0
- Tại ngày cuối năm,Giá trị còn lại > - Tại ngày cuối năm,- Tại ngày cuối năm,5.849.892.419.984,1.761.735.990.349,539.895.866.536,75.566.506.928,5.124.520.033.961,13.351.610.817.758,5849892419984.0,1761735990349.0,539895866536.0,75566506928.0,5124520033961.0,13351610817758.0
