row_label_raw,row_label_full,Stt,Tên văn phòng đại diện,Địa chỉ,numeric__Tên văn phòng đại diện,numeric__Địa chỉ
1,1,1,Văn phòng Đại diện tại Hà Nội,"56 Nguyễn Du, Quân Hai Bà Trung, Thành phố Hà Nội27 Đại lộ Hòa Bình, phường Trần Phú, thị xã Móng Cái, Tỉnh",,
2,2,2,Văn phòng Đại diện tại Quảng Ninh,"Quảng Ninh92 Đại lộ Norodom, Phường Daun Pênh, Thủ đô Phnom",,
3,3,3,Văn phòng Đại diện tại Campuchia,"Penh, Campuchia",,
4,4,4,Văn phòng Đại diện tại Lào,"Vientiane, Lào12F Liangfeng mansion No. 8 Dongfang Pudong Shanghai,China PC. 2001201120 Avenue of the America 4 th floor, New York NY 10036",,
5,5,5,Văn phòng Đại diện tại Trung Quốc,,,
6,6,6,Văn phòng Đại diện tại Hoa Kỳ,USA,,
7,7,7,Văn phòng Đại diện tại Nga,Moscow-Russia 123056. Gruzinsky Pereulok. 3/201,,
8,8,8,Văn phòng Đại diện tại Ukraine,"96 Krasnozvesdny., Kiev City., Ukraine",,
