row_label_raw,row_label_full,Stt,Tên công ty,Báo cáo tài chính tham gia hợp nhất,Đơn vị kiểm toán,Ý kiến Kiểm toán viên trên Báo cáo kiểm toán,numeric__Tên công ty,numeric__Báo cáo tài chính tham gia hợp nhất,numeric__Đơn vị kiểm toán,numeric__Ý kiến Kiểm toán viên trên Báo cáo kiểm toán
117,117,117,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Báo cáo tài chính hợp nhất,AASC,Chấp nhận toàn bộ,,,,
118,118,118,Công ty Cổ phần Xây dựng - Địa ốc Cao su,Báo cáo tài chính,AASC,Chấp nhận toàn bộ,,,,
119,119,119,Công ty Cổ phần Cao su Bến Thành,Báo cáo tài chính,AASC,Ý kiến ngoại trừ,,,,
120,120,120,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Báo cáo tài chính hợp nhất,AVA,Chấp nhận toàn bộ,,,,
121,121,121,Công ty Cổ phần Lộc Thịnh,Báo cáo tài chính,AVA,Chấp nhận toàn bộ,,,,
122,122,122,Công ty TNHH Đầu tư Phú Việt Tín,Báo cáo tài chính,CPA Hà Nội,Chấp nhận toàn bộ,,,,
123,123,123,Công ty Cổ phần Chi sợi Cao su V.R.G SA DO,Báo cáo tài chính,AVA,Chấp nhận toàn bộ,,,,
124,124,124,Công ty Cổ phần Phát triển Khu công nghiệp Lộc Khang Công ty Cổ phần Công nghiệp Dịch vụ Cao su Chư Pãh,Báo cáo tài chính,Chưa kiểm toán,,,,,
125,125,125,Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,Báo cáo tài chính,Chưa kiểm toán,,,,,
126,126,126,Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,Báo cáo tài chính,Chưa kiểm toán,,,,,
127,127,127,Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,Báo cáo tài chính,Chưa kiểm toán,,,,,
