row_label_raw,row_label_full,"06. Thuế và các khoản phải thu, phải nộp Nhà nước",Cuối năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Đầu năm,numeric__Cuối năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Đầu năm
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",29.143.781.422,759.186.197.122,747.189.495.548,17.147.079.848,29143781422.0,759186197122.0,747189495548.0,17147079848.0
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,7.246.800.000,4.097.784.849,3.559.656.849,6.708.672.000,7246800000.0,4097784849.0,3559656849.0,6708672000.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,55.925.471.015,28.368.271.612,16.533.131.429,44.090.330.832,55925471015.0,28368271612.0,16533131429.0,44090330832.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,10.000.779.482,34.762.251.894,32.495.565.580,7.734.093.168,10000779482.0,34762251894.0,32495565580.0,7734093168.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",140.884.655.478,138.917.040.863,16.533.131.429,18.500.746.044,140884655478.0,138917040863.0,16533131429.0,18500746044.0
b. Phải thu,b. Phải thu,b. Phải thu,363.877.229.517,38.271.938.557,213.370.036.701,188.779.131.373,363877229517.0,38271938557.0,213370036701.0,188779131373.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.670.359.360,17.962.189.551,0,19.632.548.911,1670359360.0,17962189551.0,0.0,19632548911.0
Thuế giá trị gia tăng hàng NK,Thuế giá trị gia tăng hàng NK,Thuế giá trị gia tăng hàng NK,0,0,0,0,0.0,0.0,0.0,0.0
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,0,0,0,0,0.0,0.0,0.0,0.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",699.371.136,59.279.197,0,758.650.333,699371136.0,59279197.0,0.0,758650333.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,68.712.369.357,0,21.623.244.847,47.089.124.510,68712369357.0,0.0,21623244847.0,47089124510.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,3.501.796,4.801.881,0,8.303.677,3501796.0,4801881.0,0.0,8303677.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",51.582.078.260,18.234.767.558,0,69.816.845.818,51582078260.0,18234767558.0,0.0,69816845818.0
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,0,0,0,0,0.0,0.0,0.0,0.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,5.334.495.086,0,301.673.294,5.032.821.792,5334495086.0,0.0,301673294.0,5032821792.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,17.446.483.022,2.010.900.370,0,19.457.383.392,17446483022.0,2010900370.0,0.0,19457383392.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",218.428.571.500,0,191.445.118.560,26.983.452.940,218428571500.0,0.0,191445118560.0,26983452940.0
