row_label_raw,row_label_full,01. Doanh thu bán hàng và cung cấp dịch vụ,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
"Doanh thu bán hàng hóa, thành phẩm","Doanh thu bán hàng hóa, thành phẩm","Doanh thu bán hàng hóa, thành phẩm",13.982.455.253.590,16.741.417.367.822,13982455253590.0,16741417367822.0
Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,265.550.500.571,356.888.316.520,265550500571.0,356888316520.0
"Doanh thu hợp đồng xây dựng, kinh doanh BĐS","Doanh thu hợp đồng xây dựng, kinh doanh BĐS","Doanh thu hợp đồng xây dựng, kinh doanh BĐS",835.605.512.654,153.727.534.749,835605512654.0,153727534749.0
Cộng,Cộng,Cộng,15.083.611.266.815,17.252.033.219.091,15083611266815.0,17252033219091.0
