row_label_raw,row_label_full,Khoản mục,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý
Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,83.665.250.467,,83.665.250.467,82.072.460.625,,82.072.460.625,83665250467.0,,83665250467.0,82072460625.0,,82072460625.0
Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công ty Cổ phần Xây dựng Cao su Đồng Nai,10.774.434.734,,10.774.434.734,10.644.414.515,,10.644.414.515,10774434734.0,,10774434734.0,10644414515.0,,10644414515.0
Công ty Cổ phần Lộc Thịnh,Công ty Cổ phần Lộc Thịnh,Công ty Cổ phần Lộc Thịnh,36.000.000.000,,36.000.000.000,36.000.000.000,,36.000.000.000,36000000000.0,,36000000000.0,36000000000.0,,36000000000.0
Công ty Cổ phần Phú Việt Tín,Công ty Cổ phần Phú Việt Tín,Công ty Cổ phần Phú Việt Tín,14.080.732.005,,14.080.732.005,14.857.722.595,,14.857.722.595,14080732005.0,,14080732005.0,14857722595.0,,14857722595.0
Công ty Cổ phần Chỉ sợi Cao su V.R.G SÀ DO,Công ty Cổ phần Chỉ sợi Cao su V.R.G SÀ DO,Công ty Cổ phần Chỉ sợi Cao su V.R.G SÀ DO,150.850.543.611,,150.850.543.611,158.893.942.406,,158.893.942.406,150850543611.0,,150850543611.0,158893942406.0,,158893942406.0
Công ty Cổ phần Phát triển Khu công nghiệp Lộc Khang,Công ty Cổ phần Phát triển Khu công nghiệp Lộc Khang,Công ty Cổ phần Phát triển Khu công nghiệp Lộc Khang,(38.463.128),,(38.463.128),(38.463.128),,(38.463.128),-38463128.0,,-38463128.0,-38463128.0,,-38463128.0
Công ty Cổ phần Công nghiệp Dịch vụ Cao su Chư Pãh,Công ty Cổ phần Công nghiệp Dịch vụ Cao su Chư Pãh,Công ty Cổ phần Công nghiệp Dịch vụ Cao su Chư Pãh,14.812.354.045,,14.812.354.045,9.892.956.409,,9.892.956.409,14812354045.0,,14812354045.0,9892956409.0,,9892956409.0
Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh,Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh,Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh,8.086.533.857,,8.086.533.857,8.180.471.656,,8.180.471.656,8086533857.0,,8086533857.0,8180471656.0,,8180471656.0
Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,4.176.773.238,,4.176.773.238,4.302.068.512,,4.302.068.512,4176773238.0,,4176773238.0,4302068512.0,,4302068512.0
Công ty Cổ phần Kho vận và DV Hàng hóa Cao su,Công ty Cổ phần Kho vận và DV Hàng hóa Cao su,Công ty Cổ phần Kho vận và DV Hàng hóa Cao su,0,,0,44.334.545.287,,44.334.545.287,0.0,,0.0,44334545287.0,,44334545287.0
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,572.914.759.722,(56.560.217.767),516.354.541.955,715.219.423.059,(44.704.066.628),670.515.356.431,572914759722.0,-56560217767.0,516354541955.0,715219423059.0,-44704066628.0,670515356431.0
