row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúc",Máy móc thiết bị,Phương tiện vântải truyền dẫn,Thiết bị dụng cụquản lý,Tài sảncó định khác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiện vântải truyền dẫn,numeric__Thiết bị dụng cụquản lý,numeric__Tài sảncó định khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,8.728.303.177.238,3.096.624.787.573,1.446.251.168.793,101.003.295.059,7.685.639.361.698,21.057.821.790.361,8728303177238.0,3096624787573.0,1446251168793.0,101003295059.0,7685639361698.0,21057821790361.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,11.076.723.080,99.520.915.897,36.704.506.379,7.326.968.237,1.941.252.363,156.570.365.956,11076723080.0,99520915897.0,36704506379.0,7326968237.0,1941252363.0,156570365956.0
- Đầu tư XDCB hoàn thành,Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,1.710.319.096.378,490.560.231.113,12.639.534.167,59.123.422.385,574.544.277.419,2.847.186.561.462,1710319096378.0,490560231113.0,12639534167.0,59123422385.0,574544277419.0,2847186561462.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,15.112.335.765,3.010.593.753,6.908.325.161,895.572.926,25.722.425,25.952.550.030,15112335765.0,3010593753.0,6908325161.0,895572926.0,25722425.0,25952550030.0
- Tăng do chuyển đổi BCTC,Nguyên giá > - Tăng do chuyển đổi BCTC,- Tăng do chuyển đổi BCTC,23.302.148.021,1.801.889.441,4.990.140.417,99.393.225,8.173.016.282,38.366.587.386,23302148021.0,1801889441.0,4990140417.0,99393225.0,8173016282.0,38366587386.0
- Tăng do phân loại lại,Nguyên giá > - Tăng do phân loại lại,- Tăng do phân loại lại,,13.756.062.098,26.864.624.582,7.083.779.546,568.725.600,48.273.191.826,,13756062098.0,26864624582.0,7083779546.0,568725600.0,48273191826.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(46.064.788.891),(22.848.199.960),(20.327.589.525),(1.962.806.223),(485.081.487.616),(576.284.872.215),-46064788891.0,-22848199960.0,-20327589525.0,-1962806223.0,-485081487616.0,-576284872215.0
- Bàn giao địa phương,Nguyên giá > - Bàn giao địa phương,- Bàn giao địa phương,(489.179.538.064),(11.552.436.666),,,(296.629.100),(501.028.603.830),-489179538064.0,-11552436666.0,,,-296629100.0,-501028603830.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(814.195.112.047),(9.544.447.159),(7.239.263.212),(5.106.612.353),(1.473.455.014),(837.558.889.785),-814195112047.0,-9544447159.0,-7239263212.0,-5106612353.0,-1473455014.0,-837558889785.0
- Giảm do chuyển đổi BCTC,Nguyên giá > - Giảm do chuyển đổi BCTC,- Giảm do chuyển đổi BCTC,(27.453.249.750),(4.637.060.959),(3.714.141.537),(204.233.270),(76.101.493.022),(112.110.178.538),-27453249750.0,-4637060959.0,-3714141537.0,-204233270.0,-76101493022.0,-112110178538.0
- Giảm do phân loại lại,Nguyên giá > - Giảm do phân loại lại,- Giảm do phân loại lại,(48.273.191.826),,,,,(48.273.191.826),-48273191826.0,,,,,-48273191826.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,9.062.947.599.904,3.656.692.335.131,1.503.077.305.225,168.258.779.532,7.707.939.291.035,22.098.915.310.827,9062947599904.0,3656692335131.0,1503077305225.0,168258779532.0,7707939291035.0,22098915310827.0
