row_label_raw,row_label_full,14. Phải trả ngắn hạn khác,Cuối năm > Giá trị,Cuối năm > Dự phòng,Đầu năm > Giá trị,Đầu năm > Dự phòng,numeric__Cuối năm > Giá trị,numeric__Cuối năm > Dự phòng,numeric__Đầu năm > Giá trị,numeric__Đầu năm > Dự phòng
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,1.220.357.687.517,0,799.316.897.124,0,1220357687517.0,0.0,799316897124.0,0.0
"- Ký quỹ, ký cược","- Ký quỹ, ký cược","- Ký quỹ, ký cược",45.213.138.151,0,37.549.099.846,0,45213138151.0,0.0,37549099846.0,0.0
- Phải trả khác,- Phải trả khác,- Phải trả khác,1.175.144.549.366,0,761.767.797.278,0,1175144549366.0,0.0,761767797278.0,0.0
Tải sản thừa chờ giải quyết,Tải sản thừa chờ giải quyết,Tải sản thừa chờ giải quyết,3.511.001.475,0,627.074.905,0,3511001475.0,0.0,627074905.0,0.0
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,23.522.061.607,0,29.296.943.973,0,23522061607.0,0.0,29296943973.0,0.0
Bảo hiểm xã hội,Bảo hiểm xã hội,Bảo hiểm xã hội,22.038.401.755,0,14.483.765.671,0,22038401755.0,0.0,14483765671.0,0.0
Bảo hiểm y tế,Bảo hiểm y tế,Bảo hiểm y tế,1.899.531.520,0,820.596.621,0,1899531520.0,0.0,820596621.0,0.0
Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp,1.287.039.794,0,834.768.534,0,1287039794.0,0.0,834768534.0,0.0
Phải trả về cổ phần hóa,Phải trả về cổ phần hóa,Phải trả về cổ phần hóa,79.176.738.710,0,388.788.020,0,79176738710.0,0.0,388788020.0,0.0
"Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",67.171.069.711,0,0,0,67171069711.0,0.0,0.0,0.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,976.538.704.794,0,715.315.859.554,0,976538704794.0,0.0,715315859554.0,0.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,123.915.057.219,0,231.163.232.587,0,123915057219.0,0.0,231163232587.0,0.0
"- Ký quỹ, ký cược","- Ký quỹ, ký cược","- Ký quỹ, ký cược",21.854.452.963,0,21.140.803.829,0,21854452963.0,0.0,21140803829.0,0.0
- Phải trả khác,- Phải trả khác,- Phải trả khác,102.060.604.256,0,210.022.428.758,0,102060604256.0,0.0,210022428758.0,0.0
Hợp vốn đầu tư,Hợp vốn đầu tư,Hợp vốn đầu tư,76.043.141.438,0,198.025.338.528,0,76043141438.0,0.0,198025338528.0,0.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,26.017.462.818,0,11.997.090.230,0,26017462818.0,0.0,11997090230.0,0.0
