row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,"Bản quyền, bằng sáng chế",Phần mềm máy vi tính,Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Bản quyền, bằng sáng chế",numeric__Phần mềm máy vi tính,numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,206.614.437.124,100.000.000,24.918.669.138,7.464.271.657,239.097.377.919,206614437124.0,100000000.0,24918669138.0,7464271657.0,239097377919.0
- Mua trong năm,Nguyên giá TSCĐ vô hình > - Mua trong năm,- Mua trong năm,562.476.364,,9.765.417.882,535.803.959,10.863.698.205,562476364.0,,9765417882.0,535803959.0,10863698205.0
- Tăng khác,Nguyên giá TSCĐ vô hình > - Tăng khác,- Tăng khác,15.050.710.926,,2.190.480.275,,17.241.191.201,15050710926.0,,2190480275.0,,17241191201.0
- Tăng do chuyển đổi BCTC,Nguyên giá TSCĐ vô hình > - Tăng do chuyển đổi BCTC,- Tăng do chuyển đổi BCTC,740.856.685,,95.180.925,,836.037.610,740856685.0,,95180925.0,,836037610.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(11.500.000.000),,,(85.198.000),(11.585.198.000),-11500000000.0,,,-85198000.0,-11585198000.0
- Giảm khác,Nguyên giá TSCĐ vô hình > - Giảm khác,- Giảm khác,(85.621.690.541),,(1.037.633.226),(127.070.000),(86.786.393.767),-85621690541.0,,-1037633226.0,-127070000.0,-86786393767.0
- Giảm do chuyển đổi BCTC,Nguyên giá TSCĐ vô hình > - Giảm do chuyển đổi BCTC,- Giảm do chuyển đổi BCTC,,,(51.356.640),,(51.356.640),,,-51356640.0,,-51356640.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,125.846.790.558,100.000.000,35.880.758.354,7.787.807.616,169.615.356.528,125846790558.0,100000000.0,35880758354.0,7787807616.0,169615356528.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,19.242.594.541,20.430.112,12.315.780.279,3.202.278.965,34.781.083.897,19242594541.0,20430112.0,12315780279.0,3202278965.0,34781083897.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,2.366.338.749,20.000.004,4.961.757.285,540.417.966,7.888.514.004,2366338749.0,20000004.0,4961757285.0,540417966.0,7888514004.0
- Tăng khác,Giá trị hao mòn lũy kế > - Tăng khác,- Tăng khác,,,1.182.766.854,,1.182.766.854,,,1182766854.0,,1182766854.0
- Tăng do chuyển đổi BCTC,Giá trị hao mòn lũy kế > - Tăng do chuyển đổi BCTC,- Tăng do chuyển đổi BCTC,,,27.605.555,,27.605.555,,,27605555.0,,27605555.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(3.577.077.625),,,(85.198.000),(3.662.275.625),-3577077625.0,,,-85198000.0,-3662275625.0
- Giảm khác,Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,(4.543.037.320),,(516.347.354),(127.070.000),(5.186.454.674),-4543037320.0,,-516347354.0,-127070000.0,-5186454674.0
- Giảm do chuyển đổi BCTC,Giá trị hao mòn lũy kế > - Giảm do chuyển đổi BCTC,- Giảm do chuyển đổi BCTC,(446.909.352),,(45.301.460),,(492.210.812),-446909352.0,,-45301460.0,,-492210812.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,13.041.908.993,40.430.116,17.926.261.159,3.530.428.931,34.539.029.199,13041908993.0,40430116.0,17926261159.0,3530428931.0,34539029199.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,,,,,,,
- Tại ngày đầu năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày đầu năm,- Tại ngày đầu năm,187.371.842.583,79.569.888,12.602.888.859,4.261.992.692,204.316.294.022,187371842583.0,79569888.0,12602888859.0,4261992692.0,204316294022.0
- Tại ngày cuối năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày cuối năm,- Tại ngày cuối năm,112.804.881.565,59.569.884,17.954.497.195,4.257.378.685,135.076.327.329,112804881565.0,59569884.0,17954497195.0,4257378685.0,135076327329.0
