row_label_raw,row_label_full,Mã số,Tên khoản mục,Số trước điều chỉnh,numeric__Tên khoản mục,numeric__Số trước điều chỉnh
BẢNG,BẢNG,BẢNG,CÂN ĐỐI KẾ TOÁN HỢP NHẤT,,,
158,BẢNG > 158,158,5. Tài sản ngắn hạn khác,162.186.741.978,,162186741978.0
200,BẢNG > 200,200,B. TÀI SẢN DÀI HẠN,46.264.344.779.899,,46264344779899.0
210,BẢNG > 210,210,I. Các khoản phải thu dài hạn,101.608.226.436,,101608226436.0
211,BẢNG > 211,211,1. Phải thu dài hạn của khách hàng,0,,0.0
212,BẢNG > 212,212,2. Vốn kinh doanh ở đơn vị trực thuộc,0,,0.0
213,BẢNG > 213,213,3. Phải thu dài hạn nội bộ,0,,0.0
218,BẢNG > 218,218,4. Phải thu dài hạn khác,101.608.226.436,,101608226436.0
219,BẢNG > 219,219,5. Dự phòng phải thu dài hạn khó đòi,0,,0.0
220,BẢNG > 220,220,II . Tài sản cố định,41.303.561.226.876,,41303561226876.0
221,BẢNG > 221,221,1. Tài sản cố định hữu hình,12.721.236.712.971,,12721236712971.0
222,BẢNG > 222,222,- Nguyên giá,21.057.821.790.361,,21057821790361.0
223,BẢNG > 223,223,- Giá trị hao mòn lũy kế,(8.336.585.077.390),,-8336585077390.0
224,BẢNG > 224,224,2. Tài sản cố định thuê tài chính,0,,0.0
225,BẢNG > 225,225,- Nguyên giá,0,,0.0
226,BẢNG > 226,226,- Giá trị hao mòn lũy kế,0,,0.0
227,BẢNG > 227,227,3. Tài sản cố định vô hình,204.316.294.022,,204316294022.0
228,BẢNG > 228,228,- Nguyên giá,239.097.377.919,,239097377919.0
229,BẢNG > 229,229,- Giá trị hao mòn lũy kế,(34.781.083.897),,-34781083897.0
230,BẢNG > 230,230,4. Chỉ phí xây dựng cơ bản dở dang,28.378.008.219.883,,28378008219883.0
240,BẢNG > 240,240,III. Bất động sản đầu tư,710.312.419.564,,710312419564.0
241,BẢNG > 241,241,- Nguyên giá,902.903.714.442,,902903714442.0
242,BẢNG > 242,242,- Giá trị hao mòn lũy kế,(192.591.294.878),,-192591294878.0
250,BẢNG > 250,250,III. Các khoản đầu tư tài chính dài hạn,3.352.976.792.965,,3352976792965.0
251,BẢNG > 251,251,1. Đầu tư vào công ty con,0,,0.0
252,BẢNG > 252,252,"2. Đầu tư vào công ty liên kết, liên doanh",1.788.277.808.159,,1788277808159.0
258,BẢNG > 258,258,3. Đầu tư dài hạn khác,2.069.574.471.292,,2069574471292.0
259,BẢNG > 259,259,4. Dự phòng giảm giá đầu tư tài chính dài hạn,(504.875.486.486),,-504875486486.0
