row_label_raw,row_label_full,Giá trị số sách > A. Tài sản tài chính,Giá trị số sách > Đầu năm,Giá trị số sách > Đầu năm_1,Giá trị số sách > Cuối năm,Giá trị số sách > Cuối năm_1,numeric__Giá trị số sách > Đầu năm,numeric__Giá trị số sách > Đầu năm_1,numeric__Giá trị số sách > Cuối năm,numeric__Giá trị số sách > Cuối năm_1
A. Tài sản tài chính,A. Tài sản tài chính,A. Tài sản tài chính,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Tiền và tương đương tiền,A. Tài sản tài chính > Tiền và tương đương tiền,Tiền và tương đương tiền,6.832.590.357.344,0,5.504.159.028.735,0,6832590357344.0,0.0,5504159028735.0,0.0
"Phải thu khách hàng, phải thu khác","A. Tài sản tài chính > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",2.366.730.971.388,(730.259.946.407),3.226.274.263.917,(756.782.256.473),2366730971388.0,-730259946407.0,3226274263917.0,-756782256473.0
Các khoản cho vay,A. Tài sản tài chính > Các khoản cho vay,Các khoản cho vay,2.124.491.234.369,(651.653.193.039),1.449.888.541.105,(644.174.073.039),2124491234369.0,-651653193039.0,1449888541105.0,-644174073039.0
Đầu tư ngắn hạn,A. Tài sản tài chính > Đầu tư ngắn hạn,Đầu tư ngắn hạn,2.453.000.503.142,(184.725.527.649),2.630.434.540.149,(143.174.700.344),2453000503142.0,-184725527649.0,2630434540149.0,-143174700344.0
Đầu tư dài hạn,A. Tài sản tài chính > Đầu tư dài hạn,Đầu tư dài hạn,2.958.479.985.984,(44.704.066.628),2.890.506.215.446,(56.560.217.767),2958479985984.0,-44704066628.0,2890506215446.0,-56560217767.0
Cộng,A. Tài sản tài chính > Cộng,Cộng,16.735.293.052.227,(1.611.342.733.723),15.701.262.589.352,(1.600.691.247.623),16735293052227.0,-1611342733723.0,15701262589352.0,-1600691247623.0
B. Nợ phải trả tài chính,B. Nợ phải trả tài chính,B. Nợ phải trả tài chính,,,Giá trị số sách,Giá trị số sách,,,,
B. Nợ phải trả tài chính,B. Nợ phải trả tài chính,B. Nợ phải trả tài chính,,,Đầu năm,Cuối năm,,,,
"Phải trả người bán, phải trả khác","B. Nợ phải trả tài chính > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",,,1.999.155.208.243,2.231.686.616.948,,,1999155208243.0,2231686616948.0
Chi phí phải trả,B. Nợ phải trả tài chính > Chi phí phải trả,Chi phí phải trả,,,310.152.126.503,215.568.876.503,,,310152126503.0,215568876503.0
Vay và nợ,B. Nợ phải trả tài chính > Vay và nợ,Vay và nợ,,,12.114.575.484.073,13.959.718.282.472,,,12114575484073.0,13959718282472.0
Cộng,B. Nợ phải trả tài chính > Cộng,Cộng,,,14.423.882.818.819,16.406.973.775.923,,,14423882818819.0,16406973775923.0
