row_label_raw,row_label_full,Công ty Cổ phần Thống Nhất,8.256.197.591,8.870.848.765,numeric__8.256.197.591,numeric__8.870.848.765
Công ty Cổ phần Đầu tư Xây dựng Cao su,Công ty Cổ phần Đầu tư Xây dựng Cao su,Công ty Cổ phần Đầu tư Xây dựng Cao su,89.001.434,688.428.129,89001434.0,688428129.0
Công ty Cổ phần Xây dựng & Tư vấn Đầu tư,Công ty Cổ phần Xây dựng & Tư vấn Đầu tư,Công ty Cổ phần Xây dựng & Tư vấn Đầu tư,225.349.762,609.600.492,225349762.0,609600492.0
Công ty TNHH Nghiên cứu KH & SXTN Cao su Visorutex,Công ty TNHH Nghiên cứu KH & SXTN Cao su Visorutex,Công ty TNHH Nghiên cứu KH & SXTN Cao su Visorutex,39.715.021,(1.248.926.371),39715021.0,-1248926371.0
Công ty Cổ phần Đầu tư XD Cơ sở Hạ tầng Bình Phước,Công ty Cổ phần Đầu tư XD Cơ sở Hạ tầng Bình Phước,Công ty Cổ phần Đầu tư XD Cơ sở Hạ tầng Bình Phước,16.680.028.882,6.137.008.204,16680028882.0,6137008204.0
Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,5.144.485.301,3.553.357.529,5144485301.0,3553357529.0
Công ty Cổ phần gỗ MDF VRG - Dongwha,Công ty Cổ phần gỗ MDF VRG - Dongwha,Công ty Cổ phần gỗ MDF VRG - Dongwha,380.554.660.589,266.165.494.658,380554660589.0,266165494658.0
Công ty Đầu tư Phát triển VRG Long Thành,Công ty Đầu tư Phát triển VRG Long Thành,Công ty Đầu tư Phát triển VRG Long Thành,5.365.376.864,326.569.719,5365376864.0,326569719.0
Công ty Cổ phần Đầu tư Sài Gòn VRG,Công ty Cổ phần Đầu tư Sài Gòn VRG,Công ty Cổ phần Đầu tư Sài Gòn VRG,11.200.783.325,39.958.050.977,11200783325.0,39958050977.0
Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,(336.211.616),(381.481.384),-336211616.0,-381481384.0
Công ty Cổ phần Xây dựng - Địa ốc Cao su,Công ty Cổ phần Xây dựng - Địa ốc Cao su,Công ty Cổ phần Xây dựng - Địa ốc Cao su,1.817.853.505,684.007.586,1817853505.0,684007586.0
Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,6.983.094.242,8.071.425.274,6983094242.0,8071425274.0
Công ty Cổ phần Xây dựng.Cao su Đồng Nai,Công ty Cổ phần Xây dựng.Cao su Đồng Nai,Công ty Cổ phần Xây dựng.Cao su Đồng Nai,891.240.202,1.643.614.047,891240202.0,1643614047.0
Công ty Cổ phần Phú Việt Tín,Công ty Cổ phần Phú Việt Tín,Công ty Cổ phần Phú Việt Tín,2.330.732.005,2.359.782.260,2330732005.0,2359782260.0
Công ty Cổ phần Chi sợi Cao su V.R.G SA DO,Công ty Cổ phần Chi sợi Cao su V.R.G SA DO,Công ty Cổ phần Chi sợi Cao su V.R.G SA DO,(9.395.588.264),3.582.915.342,-9395588264.0,3582915342.0
Công ty Cổ phần Phát triển Khu công nghiệp Lộc Khang,Công ty Cổ phần Phát triển Khu công nghiệp Lộc Khang,Công ty Cổ phần Phát triển Khu công nghiệp Lộc Khang,0,(65.773.633),0.0,-65773633.0
Công ty Cổ phần Công nghiệp Dịch vụ Cao su Chư Păng,Công ty Cổ phần Công nghiệp Dịch vụ Cao su Chư Păng,Công ty Cổ phần Công nghiệp Dịch vụ Cao su Chư Păng,4.919.397.636,(1.467.593.868),4919397636.0,-1467593868.0
Công ty Cổ phần Chế biến gỗ Cao su Chư Păng,Công ty Cổ phần Chế biến gỗ Cao su Chư Păng,Công ty Cổ phần Chế biến gỗ Cao su Chư Păng,9.461.634,469.882.990,9461634.0,469882990.0
Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,(125.295.274),(13.871.152),-125295274.0,-13871152.0
Công ty Cổ phần Kho vận và DV Hàng hóa Cao su,Công ty Cổ phần Kho vận và DV Hàng hóa Cao su,Công ty Cổ phần Kho vận và DV Hàng hóa Cao su,0,5.341.669.956,0.0,5341669956.0
Cộng,Cộng,Cộng,434.650.282.839,345.285.009.520,434650282839.0,345285009520.0
