row_label_raw,row_label_full,04. Hàng tồn kho,Cuối năm,Cuối năm_1,Đầu năm,Đầu năm_1,numeric__Cuối năm,numeric__Cuối năm_1,numeric__Đầu năm,numeric__Đầu năm_1
04. Hàng tồn kho,04. Hàng tồn kho,04. Hàng tồn kho,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Hàng mua đang đi trên đường,04. Hàng tồn kho > Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,58.277.656.345,,79.360.789.049,,58277656345.0,,79360789049.0,
"Nguyên liệu, vật liệu tồn kho","04. Hàng tồn kho > Nguyên liệu, vật liệu tồn kho","Nguyên liệu, vật liệu tồn kho",518.984.636.550,,508.254.501.860,,518984636550.0,,508254501860.0,
"Công cụ, dụng cụ trong kho","04. Hàng tồn kho > Công cụ, dụng cụ trong kho","Công cụ, dụng cụ trong kho",134.243.684.800,,125.038.464.980,,134243684800.0,,125038464980.0,
Chi phí SXKD dở dang,04. Hàng tồn kho > Chi phí SXKD dở dang,Chi phí SXKD dở dang,562.969.176.123,(92.194.987.362),1.360.273.559.781,(109.884.836.323),562969176123.0,-92194987362.0,1360273559781.0,-109884836323.0
Thành phẩm tồn kho,04. Hàng tồn kho > Thành phẩm tồn kho,Thành phẩm tồn kho,1.593.712.547.803,,1.718.553.820.518,,1593712547803.0,,1718553820518.0,
Hàng hóa tồn kho,04. Hàng tồn kho > Hàng hóa tồn kho,Hàng hóa tồn kho,94.434.067.334,,83.043.107.988,,94434067334.0,,83043107988.0,
Hàng gửi đi bán,04. Hàng tồn kho > Hàng gửi đi bán,Hàng gửi đi bán,35.569.786.081,,37.253.765.314,,35569786081.0,,37253765314.0,
Hàng hóa bất động sản,04. Hàng tồn kho > Hàng hóa bất động sản,Hàng hóa bất động sản,27.194.746.100,,0,,27194746100.0,,0.0,
Cộng,04. Hàng tồn kho > Cộng,Cộng,3.025.386.301.136,(92.194.987.362),3.911.778.009.490,(109.884.836.323),3025386301136.0,-92194987362.0,3911778009490.0,-109884836323.0
