row_label_raw,row_label_full,Chỉ tiêu,Mã số,Năm này,Năm trước,numeric__Mã số,numeric__Năm này,numeric__Năm trước
(1),(1),(1),(2),(3),(4),-2.0,-3.0,-4.0
III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","III. Lưu chuyển tiền từ hoạt động tài chính > 1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,13.544.250.000,25.650.400.000,31.0,13544250000.0,25650400000.0
"2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành","III. Lưu chuyển tiền từ hoạt động tài chính > 2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành","2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,(2.944.500.000),(88.680.554.599),32.0,-2944500000.0,-88680554599.0
3. Tiền thu từ đi vay,III. Lưu chuyển tiền từ hoạt động tài chính > 3. Tiền thu từ đi vay,3. Tiền thu từ đi vay,33,8.925.419.663.833,10.093.768.332.615,33.0,8925419663833.0,10093768332615.0
4. Tiền trả nợ gốc vay,III. Lưu chuyển tiền từ hoạt động tài chính > 4. Tiền trả nợ gốc vay,4. Tiền trả nợ gốc vay,34,(6.963.623.343.894),(8.834.123.861.372),34.0,-6963623343894.0,-8834123861372.0
5. Trả tiền nợ gốc thuê tài chính,III. Lưu chuyển tiền từ hoạt động tài chính > 5. Trả tiền nợ gốc thuê tài chính,5. Trả tiền nợ gốc thuê tài chính,35,0,0,35.0,0.0,0.0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. Lưu chuyển tiền từ hoạt động tài chính > 6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(217.872.228.535),(184.548.095.817),36.0,-217872228535.0,-184548095817.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,1.754.523.841.404,1.012.066.220.827,40.0,1754523841404.0,1012066220827.0
Lưu chuyển tiền thuần trong năm,III. Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,50,(1.406.418.556.790),(3.039.019.851.386),50.0,-1406418556790.0,-3039019851386.0
Tiền và tương đương tiền đầu năm,III. Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,6.832.590.357.344,9.866.719.959.403,60.0,6832590357344.0,9866719959403.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,III. Lưu chuyển tiền từ hoạt động tài chính > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,77.987.228.181,4.890.249.327,61.0,77987228181.0,4890249327.0
Tiền và tương đương tiền cuối năm,III. Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,70,5.504.159.028.735,6.832.590.357.344,70.0,5504159028735.0,6832590357344.0
