row_label_raw,row_label_full,Stt > 25,Đơn vị được bảo lãnh > Công ty Cổ phần Cao su Sa Thầy,Số tiền bảo lãnh > USD,Số tiền bảo lãnh > VND > 209.727.120.000,Đơn vị nhận bảo lãnh > Ngân hàng TMCP Công thương Việt Nam,Mục đích bảo lãnh > Thực hiện dự án 5.400 ha cao su,numeric__Đơn vị được bảo lãnh > Công ty Cổ phần Cao su Sa Thầy,numeric__Số tiền bảo lãnh > USD,numeric__Số tiền bảo lãnh > VND > 209.727.120.000,numeric__Đơn vị nhận bảo lãnh > Ngân hàng TMCP Công thương Việt Nam,numeric__Mục đích bảo lãnh > Thực hiện dự án 5.400 ha cao su
26,26,26,Công ty TNHH MTV Tổng Công ty Cao su Đồng Nai,,21.500.000.000,Ngân hàng TMCP Đại Á - chi nhánh TP. Hồ Chí Minh,"Đầu tư máy móc thiết bị, kiến trúc",,,21500000000.0,,
27,27,27,Công ty TNHH MTV Tổng Công ty Cao su Đồng Nai,,120.000.000.000,Ngân hàng TMCP Ngoại thương Việt Nam - chi nhánh Đồng Nai,Đầu tư xây dựng cơ bản cao su,,,120000000000.0,,
28,28,28,Công ty Cổ phần Cao su Điện Biên,,28.727.400.000,Ngân hàng TMCP Sài Gòn - Hà Nội,Đầu tư xây dựng cơ bản cao su,,,28727400000.0,,
29,29,29,Công ty Cổ phần Cao su Điện Biên,,14.770.800.000,Ngân hàng TMCP Sài Gòn - Hà Nội - chi nhánh Khánh Hòa,Đầu tư chăm sóc cao su (trả nợ cho Công ty Tài chính TNHH MTV Cao su Việt Nam),,,14770800000.0,,
30,30,30,Công ty Cổ phần Cao su Son La,,9.240.000.000,Ngân hàng TMCP Sài Gòn - Hà Nội - chi nhánh TP. Hồ Chí Minh,Đầu tư xây dựng cơ bản cao su,,,9240000000.0,,
31,31,31,Công ty Cổ phần Cao su Son La,,34.055.000.000,Ngân hàng TMCP Sài Gòn - Hà Nội - chi nhánh TP. Hồ Chí Minh,Đầu tư xây dựng cơ bản cao su,,,34055000000.0,,
32,32,32,Công ty Cổ phần Cao su Son La,,44.109.738.750,Ngân hàng TMCP Sài Gòn - Hà Nội - chi nhánh TP. Hồ Chí Minh,Đầu tư chăm sóc cao su (trả nợ cho Công ty Tài chính TNHH MTV Cao su Việt Nam),,,44109738750.0,,
33,33,33,Công ty Cổ phần Cao su Son La,,39.503.800.000,Ngân hàng TMCP Sài Gòn - Hà Nội - chi nhánh TP. Hồ Chí Minh,Đầu tư xây dựng cơ bản cao su,,,39503800000.0,,
34,34,34,Công ty Cổ phần Chư Sê - Kampong Thom,,144.000.000.000,Ngân hàng TMCP Sài Gòn - Hà Nội - chi nhánh TP. Hồ Chí Minh,Đầu tư xây dựng cơ bản cao su,,,144000000000.0,,
35,35,35,Công ty TNHH MTV Cao su Kon Tum,,56.152.900.000,Ngân hàng TMCP Công thương Việt Nam - chi nhánh Kon Tum,Đầu tư xây dựng cơ bản cao su,,,56152900000.0,,
36,36,36,Công ty Cổ phần Cao su Krông Búk - Ratanakiri,"1.200.000,00",,Ngân hàng TMCP Sài Gòn - Hà Nội - chi nhánh TP. Hồ Chí Minh,Đầu tư xây dựng cơ bản cao su,,1200000.0,,,
37,37,37,Công ty Cổ phần Cao su Krông Búk - Ratanakiri,"1.800.000,00",,Ngân hàng TMCP Sài Gòn - Hà Nội - chi nhánh TP. Hồ Chí Minh,Đầu tư xây dựng cơ bản cao su,,1800000.0,,,
