row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,"Nhà, cơ sở hạ tầng",Cộng,numeric__Quyền sử dụng đất,"numeric__Nhà, cơ sở hạ tầng",numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,178.473.151.910,724.430.562.532,902.903.714.442,178473151910.0,724430562532.0,902903714442.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,31.188.179.694,133.382.280.115,164.570.459.809,31188179694.0,133382280115.0,164570459809.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,,,0,,,0.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,209.661.331.604,857.812.842.647,1.067.474.174.251,209661331604.0,857812842647.0,1067474174251.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,51.037.246.242,141.554.048.636,192.591.294.878,51037246242.0,141554048636.0,192591294878.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,11.360.679.222,43.293.141.868,54.653.821.090,11360679222.0,43293141868.0,54653821090.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,,,0,,,0.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,62.397.925.464,184.847.190.504,247.245.115.968,62397925464.0,184847190504.0,247245115968.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,127.435.905.668,582.876.513.896,710.312.419.564,127435905668.0,582876513896.0,710312419564.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,147.263.406.140,672.965.652.143,820.229.058.283,147263406140.0,672965652143.0,820229058283.0
