row_label_raw,row_label_full,Mã số,Tên khoản mục,Số trước điều chỉnh,numeric__Tên khoản mục,numeric__Số trước điều chỉnh
BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,,
01,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,17.266.690.120.703,,17266690120703.0
02,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 02,02,2. Các khoản giảm trừ doanh thu,49.019.632.719,,49019632719.0
10,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 10,10,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,17.217.670.487.984,,17217670487984.0
11,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 11,11,4. Giá vốn hàng bán,14.031.767.019.317,,14031767019317.0
20,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,3.185.903.468.667,,3185903468667.0
21,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 21,21,6. Doanh thu hoạt động tài chính,730.587.762.536,,730587762536.0
22,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 22,22,7. Chi phí tài chính,707.289.736.947,,707289736947.0
23,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 23,23,Trong đó: Chi phí lãi vay,428.696.192.014,,428696192014.0
24,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 24,24,8. Chi phí bán hàng,399.024.809.430,,399024809430.0
25,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 25,25,9. Chi phí quản lý doanh nghiệp,1.344.275.102.792,,1344275102792.0
30,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 30,30,10. Lợi nhuận thuần từ hoạt động kinh doanh,1.465.901.582.034,,1465901582034.0
31,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 31,31,11. Thu nhập khác,1.990.278.032.263,,1990278032263.0
32,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 32,32,12. Chi phí khác,813.911.199.465,,813911199465.0
40,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 40,40,13. Lợi nhuận khác,1.176.366.832.798,,1176366832798.0
41,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 41,41,"14. Phần lợi nhuận trong công ty liên kết, liên doanh",345.285.009.520,,345285009520.0
50,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 50,50,15. Tổng lợi nhuận kế toán trước thuế,2.987.553.424.352,,2987553424352.0
51,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 51,51,16.1. Chi phí thuế thu nhập doanh nghiệp hiện hành,675.049.233.881,,675049233881.0
52,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 52,52,16.2. Chi phí thuế thu nhập doanh nghiệp hoãn lại,15.095.287.101,,15095287101.0
60,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 60,60,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,2.297.408.903.370,,2297408903370.0
61,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 61,61,17.1. Lợi ích cổ đông thiểu số,211.591.682.251,,211591682251.0
62,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 62,62,17.2. Lợi nhuận sau thuế của cổ đông của công ty mẹ,2.085.817.221.119,,2085817221119.0
