row_label_raw,row_label_full,Chỉ tiêu,Mã số,Năm nay,Năm trước,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
(1),(1),(1),(2),(3),(4),-2.0,-3.0,-4.0
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,2.570.407.901.742,2.987.553.424.352,1.0,2570407901742.0,2987553424352.0
2. Điều chỉnh cho các khoản,I. Lưu chuyển tiền từ hoạt động kinh doanh > 2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,(377.572.597.393),(120.961.903.669),,-377572597393.0,-120961903669.0
- Khấu hao TSCĐ,I. Lưu chuyển tiền từ hoạt động kinh doanh > - Khấu hao TSCĐ,- Khấu hao TSCĐ,02,1.107.731.311.956,1.125.817.934.139,2.0,1107731311956.0,1125817934139.0
- Các khoản dự phòng,I. Lưu chuyển tiền từ hoạt động kinh doanh > - Các khoản dự phòng,- Các khoản dự phòng,03,(28.254.242.095),(29.907.812.027),3.0,-28254242095.0,-29907812027.0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","I. Lưu chuyển tiền từ hoạt động kinh doanh > - Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,(7.926.480.382),6.765.245.402,4.0,-7926480382.0,6765245402.0
- Lãi lỗ từ hoạt động đầu tư,I. Lưu chuyển tiền từ hoạt động kinh doanh > - Lãi lỗ từ hoạt động đầu tư,- Lãi lỗ từ hoạt động đầu tư,05,(1.243.648.323.443),(1.270.525.325.156),5.0,-1243648323443.0,-1270525325156.0
- Chi phí lãi vay,I. Lưu chuyển tiền từ hoạt động kinh doanh > - Chi phí lãi vay,- Chi phí lãi vay,06,348.304.757.259,428.696.192.014,6.0,348304757259.0,428696192014.0
- Các khoản điều chỉnh khác,I. Lưu chuyển tiền từ hoạt động kinh doanh > - Các khoản điều chỉnh khác,- Các khoản điều chỉnh khác,07,(553.779.620.688),(381.808.138.041),7.0,-553779620688.0,-381808138041.0
