row_label_raw,row_label_full,15. Vay và nợ thuê tài chính,Cuối năm,Tăng trong năm,Giảm trong năm,Đầu năm,numeric__Cuối năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Đầu năm
15.1. Vay và nợ thuê tài chính ngắn hạn,15.1. Vay và nợ thuê tài chính ngắn hạn,15.1. Vay và nợ thuê tài chính ngắn hạn,3.308.723.451.221,6.339.407.168.702,6.267.030.795.462,3.236.347.077.981,3308723451221.0,6339407168702.0,6267030795462.0,3236347077981.0
Các khoản đi vay,Các khoản đi vay,Các khoản đi vay,3.308.723.451.221,6.339.407.168.702,6.267.030.795.462,3.236.347.077.981,3308723451221.0,6339407168702.0,6267030795462.0,3236347077981.0
Nợ thuê tài chính,Nợ thuê tài chính,Nợ thuê tài chính,0,0,0,0,0.0,0.0,0.0,0.0
Trái phiếu phát hành,Trái phiếu phát hành,Trái phiếu phát hành,0,0,0,0,0.0,0.0,0.0,0.0
15.2. Vay và nợ thuê tài chính dài hạn,15.2. Vay và nợ thuê tài chính dài hạn,15.2. Vay và nợ thuê tài chính dài hạn,10.650.994.831.251,3.734.445.818.721,1.961.679.393.562,8.878.228.406.092,10650994831251.0,3734445818721.0,1961679393562.0,8878228406092.0
Các khoản đi vay,Các khoản đi vay,Các khoản đi vay,10.650.994.831.251,3.734.445.818.721,1.961.679.393.562,8.878.228.406.092,10650994831251.0,3734445818721.0,1961679393562.0,8878228406092.0
Nợ thuê tài chính,Nợ thuê tài chính,Nợ thuê tài chính,0,0,0,0,0.0,0.0,0.0,0.0
Trái phiếu phát hành,Trái phiếu phát hành,Trái phiếu phát hành,0,0,0,0,0.0,0.0,0.0,0.0
15.3. Số có khả năng trả nợ,15.3. Số có khả năng trả nợ,15.3. Số có khả năng trả nợ,13.959.718.282.472,10.073.852.987.423,8.228.710.189.024,12.114.575.484.073,13959718282472.0,10073852987423.0,8228710189024.0,12114575484073.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,3.308.723.451.221,6.339.407.168.702,6.267.030.795.462,3.236.347.077.981,3308723451221.0,6339407168702.0,6267030795462.0,3236347077981.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,10.650.994.831.251,3.734.445.818.721,1.961.679.393.562,8.878.228.406.092,10650994831251.0,3734445818721.0,1961679393562.0,8878228406092.0
