row_label_raw,row_label_full,Stt > 38,Đơn vị được bảo lãnh > Công ty TNHH MTV Cao su Chư Păng,Số tiền bảo lãnh > USD,Số tiền bảo lãnh > VND > 120.597.851.700,Đơn vị nhận bảo lãnh > Ngân hàng TMCP Công thương Việt Nam - chi nhánh Gia Lai,Mục đích bảo lãnh > Đầu tư xây dựng cơ bản cao su,numeric__Đơn vị được bảo lãnh > Công ty TNHH MTV Cao su Chư Păng,numeric__Số tiền bảo lãnh > USD,numeric__Số tiền bảo lãnh > VND > 120.597.851.700,numeric__Đơn vị nhận bảo lãnh > Ngân hàng TMCP Công thương Việt Nam - chi nhánh Gia Lai,numeric__Mục đích bảo lãnh > Đầu tư xây dựng cơ bản cao su
39,39,39,Công ty TNHH MTV Cao su Chư Păng,"7.000.000,00",,Ngân hàng TMCP Sài Gòn - Hà Nội - chi nhánh TP. Hồ Chí Minh,Đầu tư xây dựng cơ bản cao su,,7000000.0,,,
40,40,40,Công ty Cổ phần Cao su Tân Biên - Kampong Thom,"3.675.000,00",,Ngân hàng TMCP Sài Gòn - Hà Nội - chi nhánh TP. Hồ Chí Minh,Đầu tư xây dựng cơ bản cao su,,3675000.0,,,
41,41,41,Công ty Cổ phần Cao su Đồng Phú - Kratie,"2.100.000,00",,Ngân hàng TMCP Sài Gòn - Hà Nội - chi nhánh TP. Hồ Chí Minh,Đầu tư xây dựng cơ bản cao su,,2100000.0,,,
42,42,42,Công ty Cổ phần VRG Đắk Nông,,209.296.500.000,Ngân hàng TMCP Sài Gòn - Hà Nội - chi nhánh TP. Hồ Chí Minh,Đầu tư dự án thủy điện Đắk Sil 1,,,209296500000.0,,
43,43,43,Công ty TNHH MTV Cao su Chư Prông,,52.730.000.000,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - chi nhánh Nam Gia Lai,Đầu tư xây dựng cơ bản cao su,,,52730000000.0,,
44,44,44,Công ty TNHH MTV Cao su Hương Khê - Hà Tĩnh,,271.592.000.000,Ngân hàng TMCP Sài Gòn - Hà Nội,Đầu tư xây dựng cơ bản cao su và trả nợ cho Công ty Tài chính TNHH MTV Cao su Việt Nam,,,271592000000.0,,
45,45,45,Công ty TNHH MTV Cao su Quảng Ngãi,,4.658.000.000,Ngân hàng TMCP Sài Gòn - Hà Nội,Đầu tư xây dựng cơ bản cao su,,,4658000000.0,,
46,46,46,Công ty Cổ phần Cao su Lai Châu II,,52.244.370.000,"Ngân hàng TMCP Sài Gòn - Hà Nội, chi nhánh Khánh Hòa",Đầu tư xây dựng cơ bản cao su,,,52244370000.0,,
47,47,47,Công ty Cổ phần Cao su Lai Châu,,61.082.948.000,"Ngân hàng TMCP Sài Gòn - Hà Nội, chi nhánh Khánh Hòa",Đầu tư xây dựng cơ bản cao su,,,61082948000.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,"21.212.500,00",3.137.514.624.450,,,,21212500.0,3137514624450.0,,
