row_label_raw,row_label_full,Stt > 1,Tên công ty > Công ty mẹ - Tập đoàn Công nghiệp Cao su Việt Nam,Báo cáo tài chính tham gia hợp nhất > Báo cáo tài chính riêng,Đơn vị kiểm toán > AASC,Ý kiến Kiểm toán viên trên Báo cáo kiểm toán > Chấp nhận toàn bộ,numeric__Tên công ty > Công ty mẹ - Tập đoàn Công nghiệp Cao su Việt Nam,numeric__Báo cáo tài chính tham gia hợp nhất > Báo cáo tài chính riêng,numeric__Đơn vị kiểm toán > AASC,numeric__Ý kiến Kiểm toán viên trên Báo cáo kiểm toán > Chấp nhận toàn bộ
2,2,2,Công ty TNHH MTV Tổng Công ty Cao su Đồng Nai,Báo cáo tài chính riêng,AVA,Chấp nhận toàn bộ,,,,
3,3,3,Công ty TNHH MTV Cao su Bà Rịa,Báo cáo tài chính,AVA,Ý kiến ngoại trừ,,,,
4,4,4,Công ty TNHH MTV Cao su Bình Long,Báo cáo tài chính,AVA,Chấp nhận toàn bộ,,,,
