row_label_raw,row_label_full,Stt,Tên công ty,Báo cáo tài chính tham gia hợp nhất,Đơn vị kiểm toán,Ý kiến Kiểm toán viên trên Báo cáo kiểm toán,numeric__Tên công ty,numeric__Báo cáo tài chính tham gia hợp nhất,numeric__Đơn vị kiểm toán,numeric__Ý kiến Kiểm toán viên trên Báo cáo kiểm toán
5,5,5,Công ty TNHH MTV Cao su Dầu Tiếng,Báo cáo tài chính riêng,AASC,Chấp nhận toàn bộ,,,,
6,6,6,Công ty TNHH MTV Cao su Lộc Ninh,Báo cáo tài chính,AVA,Chấp nhận toàn bộ,,,,
7,7,7,Công ty TNHH MTV Cao su Phú Riếng,Báo cáo tài chính,AASC,Ý kiến ngoại trừ,,,,
8,8,8,Công ty TNHH MTV Cao su Tân Biên,Báo cáo tài chính riêng,AASC,Chấp nhận toàn bộ,,,,
9,9,9,Công ty TNHH MTV Cao su Krông Búk,Báo cáo tài chính riêng,AVN,Chấp nhận toàn bộ,,,,
10,10,10,Công ty TNHH MTV Cao su Ea H'Leo,Báo cáo tài chính riêng,AVINA-IAFC,Chấp nhận toàn bộ,,,,
11,11,11,Công ty TNHH MTV Cao su Chư Prông,Báo cáo tài chính,AASC,Chấp nhận toàn bộ,,,,
12,12,12,Công ty TNHH MTV Cao su Chư Sé,Báo cáo tài chính riêng,AASC,Chấp nhận toàn bộ,,,,
13,13,13,Công ty TNHH MTV Cao su Kon Tum,Báo cáo tài chính riêng,AVINA-IAFC,Ý kiến ngoại trừ,,,,
14,14,14,Công ty TNHH MTV Cao su Mang Yang,Báo cáo tài chính,AASC,Chấp nhận toàn bộ,,,,
15,15,15,Công ty TNHH MTV Cao su Chư Pãh,Báo cáo tài chính riêng,AASC,Ý kiến ngoại trừ,,,,
16,16,16,Công ty TNHH MTV Cao su Quảng Nam,Báo cáo tài chính,AAC,Ý kiến ngoại trừ,,,,
17,17,17,Công ty TNHH MTV Cao su Nam Giang - Quảng Nam,Báo cáo tài chính,AAC,Chấp nhận toàn bộ,,,,
18,18,18,Công ty TNHH MTV Cao su Hà Tĩnh,Báo cáo tài chính riêng,AASC,Ý kiến ngoại trừ,,,,
19,19,19,Công ty TNHH MTV Cao su Hương Khê - Hà Tĩnh,Báo cáo tài chính,AASC,Chấp nhận toàn bộ,,,,
20,20,20,Công ty TNHH MTV Cao su Thanh Hóa,Báo cáo tài chính,AVA,Ý kiến ngoại trừ,,,,
21,21,21,Công ty TNHH MTV Cao su Quảng Trị,Báo cáo tài chính,AVINA-IAFC,Chấp nhận toàn bộ,,,,
22,22,22,Công ty TNHH MTV Cao su Bình Thuận,Báo cáo tài chính,AVA,Chấp nhận toàn bộ,,,,
23,23,23,Công ty TNHH MTV Cao su Quảng Ngãi,Báo cáo tài chính,AVA,Chấp nhận toàn bộ,,,,
24,24,24,Viện Nghiên cứu Cao su,Báo cáo tài chính,AASC,Chấp nhận toàn bộ,,,,
25,25,25,Trung tâm Y tế Cao su,Báo cáo tài chính,Chưa kiểm toánThăng Long – TDK,Chấp nhận toàn bộ,,,,
26,26,26,Tạp chí Cao su Trường Cao đẳng Công nghiệp Cao su Công ty Cổ phần Thủy điện Geruco - Sông Côn,Báo cáo tài chính,Chưa kiểm toán,,,,,
27,27,27,Tạp chí Cao su Trường Cao đẳng Công nghiệp Cao su Công ty Cổ phần Thủy điện Geruco - Sông Côn,Báo cáo tài chính,Chưa kiểm toán,,,,,
28,28,28,Tạp chí Cao su Trường Cao đẳng Công nghiệp Cao su Công ty Cổ phần Thủy điện Geruco - Sông Côn,Báo cáo tài chính,A&C,Chấp nhận toàn bộ,,,,
