row_label_raw,row_label_full,Stt,Đơn vị được bảo lãnh,Số tiền bảo lãnh > USD,Số tiền bảo lãnh > VND,Đơn vị nhận bảo lãnh,Mục đích bảo lãnh,numeric__Đơn vị được bảo lãnh,numeric__Số tiền bảo lãnh > USD,numeric__Số tiền bảo lãnh > VND,numeric__Đơn vị nhận bảo lãnh,numeric__Mục đích bảo lãnh
1,1,1,Công ty TNHH MTV Cao su Hà Tĩnh,,35.523.738.000,Ngân hàng TMCP Sài Gòn - Hà Nội - chi nhánh Nghệ An,Chăm sóc cao su KTCB,,,35523738000.0,,
2,2,2,Công ty TNHH MTV Cao su Hà Tĩnh,,97.968.024.000,Ngân hàng TMCP Sài Gòn - Hà Nội - chi nhánh Nghệ An,Chăm sóc cao su KTCB,,,97968024000.0,,
3,3,3,Công ty TNHH MTV Cao su Hà Tĩnh,,84.605.486.000,Ngân hàng TMCP Sài Gòn - Hà Nội,Đầu tư dự án (trả nợ cho Công ty Tài chính TNHH MTV Cao su Việt Nam),,,84605486000.0,,
4,4,4,Công ty TNHH MTV Cao su Hà Tĩnh,,50.968.107.000,Ngân hàng TMCP Sài Gòn - Hà Nội - chi nhánh Nghệ An,Đầu tư xây dựng cơ bản cao su,,,50968107000.0,,
5,5,5,Công ty TNHH MTV Cao su Quảng Nam,,78.000.000.000,Ngân hàng TMCP Sài Gòn - Hà Nội,Đầu tư xây dựng cơ bản cao su,,,78000000000.0,,
6,6,6,Công ty TNHH MTV Cao su Quảng Nam,,88.546.900.000,Ngân hàng TMCP Sài Gòn - Hà Nội,Đầu tư xây dựng cơ bản cao su (trả nợ cho Công ty Tài chính TNHH MTV Cao su Việt Nam),,,88546900000.0,,
7,7,7,Công ty Cổ phần Cao su Phước Hòa,,139.235.800.000,Ngân hàng TNHH Shinhan Việt Nam - chi nhánh Bình Dương,Đầu tư xây dựng cơ bản cao su,,,139235800000.0,,
8,8,8,Công ty Cổ phần Cao su Phước Hòa,,100.000.000.000,Ngân hàng TMCP Công thương Việt Nam - chi nhánh 4 TP. Hồ Chí Minh,Bổ sung vốn lưu động,,,100000000000.0,,
9,9,9,Công ty Cổ phần VRG Bảo Lộc,,6.851.000.000,Công ty Tài chính TNHH MTV Cao su Việt Nam,Đầu tư dự án thủy điện Bảo Lộc,,,6851000000.0,,
10,10,10,Công ty TNHH MTV Cao su Bà Rịa,,50.000.000.000,Ngân hàng Nông nghiệp và Phát triển Nông thông Việt Nam - chi nhánh huyện Châu Đức,"Đầu tư 1.269,93 ha cao su",,,50000000000.0,,
11,11,11,Công ty TNHH MTV Cao su Bà Rịa,,38.500.000.000,Ngân hàng Nông nghiệp và Phát triển Nông thông Việt Nam - chi nhánh huyện Châu Đức,Phục vụ sản xuất kinh doanh,,,38500000000.0,,
