row_label_raw,row_label_full,col_0,Thời gian quá hạn,31/12/2019 > Giá gốc VND,31/12/2019 > Dự phòng VND,31/12/2019 > Giá trị có thể thu hồi VND,Thời gian quá hạn_1,1/1/2019 > Giá gốc VND,1/1/2019 > Dự phòng VND,1/1/2019 > Giá trị có thể thu hồi VND,numeric__Thời gian quá hạn,numeric__31/12/2019 > Giá gốc VND,numeric__31/12/2019 > Dự phòng VND,numeric__31/12/2019 > Giá trị có thể thu hồi VND,numeric__Thời gian quá hạn_1,numeric__1/1/2019 > Giá gốc VND,numeric__1/1/2019 > Dự phòng VND,numeric__1/1/2019 > Giá trị có thể thu hồi VND
Nợ quả hạn,Nợ quả hạn,Nợ quả hạn,Nợ quả hạn,Nợ quả hạn,Nợ quả hạn,Nợ quả hạn,Nợ quả hạn,Nợ quả hạn,Nợ quả hạn,Nợ quả hạn,,,,,,,,
Bà Nguyễn Thị Lan,Nợ quả hạn > Bà Nguyễn Thị Lan,Bà Nguyễn Thị Lan,Trên 3 năm,3.415.000.000,(3.415.000.000),-,Trên 3 năm,3.415.000.000,(3.415.000.000),-,,3415000000.0,-3415000000.0,,,3415000000.0,-3415000000.0,
Công ty TNHH Nam Việt,Nợ quả hạn > Công ty TNHH Nam Việt,Công ty TNHH Nam Việt,Trên 3 năm,3.356.516.900,(3.356.516.900),-,Trên 3 năm,3.356.516.900,(3.356.516.900),-,,3356516900.0,-3356516900.0,,,3356516900.0,-3356516900.0,
Chi nhánh – Công ty TNHH APAVE– Châu Á Thái Bình Dương,Nợ quả hạn > Chi nhánh – Công ty TNHH APAVE– Châu Á Thái Bình Dương,Chi nhánh – Công ty TNHH APAVE– Châu Á Thái Bình Dương,Trên 3 năm,704.261.250,(704.261.250),-,Trên 3 năm,704.261.250,-,704.261.250,,704261250.0,-704261250.0,,,704261250.0,,704261250.0
Bà Trịnh Thị Thanh Thúy,Nợ quả hạn > Bà Trịnh Thị Thanh Thúy,Bà Trịnh Thị Thanh Thúy,Trên 3 năm,462.500.000,(462.500.000),-,Trên 3 năm,462.500.000,(462.500.000),-,,462500000.0,-462500000.0,,,462500000.0,-462500000.0,
Công ty Cổ phần Gạch nhẹPhúc Sơn,Nợ quả hạn > Công ty Cổ phần Gạch nhẹPhúc Sơn,Công ty Cổ phần Gạch nhẹPhúc Sơn,Trên 3 năm,426.495.800,(426.495.800),-,Trên 3 năm,426.495.800,(426.495.800),-,,426495800.0,-426495800.0,,,426495800.0,-426495800.0,
Công ty Cổ phần Tư vấnKiến trúc và Xây dựng Thành phốHồ Chí Minh,Nợ quả hạn > Công ty Cổ phần Tư vấnKiến trúc và Xây dựng Thành phốHồ Chí Minh,Công ty Cổ phần Tư vấnKiến trúc và Xây dựng Thành phốHồ Chí Minh,Trên 3 năm,417.625.000,(417.625.000),-,Trên 3 năm,417.625.000,(417.625.000),-,,417625000.0,-417625000.0,,,417625000.0,-417625000.0,
Ban quản lý Dự án Thuỷ điện SôngBa Hạ,Nợ quả hạn > Ban quản lý Dự án Thuỷ điện SôngBa Hạ,Ban quản lý Dự án Thuỷ điện SôngBa Hạ,Trên 3 năm,278.000.001,(278.000.001),-,Từ 2 đếndưới 3 năm,278.000.001,(194.600.001),83.400.000,,278000001.0,-278000001.0,,,278000001.0,-194600001.0,83400000.0
Tổng Công ty Xây lắp Thuỷ lợi 4,Nợ quả hạn > Tổng Công ty Xây lắp Thuỷ lợi 4,Tổng Công ty Xây lắp Thuỷ lợi 4,Trên 3 năm,185.031.250,(185.031.250),-,Từ 2 đếndưới 3 năm,185.031.250,(129.521.875),55.509.375,,185031250.0,-185031250.0,,,185031250.0,-129521875.0,55509375.0
Các khách hàng khác,Nợ quả hạn > Các khách hàng khác,Các khách hàng khác,Trên 3 năm,8.559.323.512,(8.559.323.512),-,Trên 3 năm,2.426.008.120,(2.426.008.120),-,,8559323512.0,-8559323512.0,,,2426008120.0,-2426008120.0,
Các khách hàng khác,Nợ quả hạn > Các khách hàng khác,Các khách hàng khác,-,-,-,-,Từ 1 đếndưới 2 năm,8.000.000,(4.000.000),4.000.000,,,,,,8000000.0,-4000000.0,4000000.0
,,,,17.804.753.713,(17.804.753.713),-,,11.679.438.321,(10.832.267.696),847.170.625,,17804753713.0,-17804753713.0,,,11679438321.0,-10832267696.0,847170625.0
Trong đó:Dự phòng phải thu khó đòi – ngắn hạn,Nợ quả hạn > Trong đó:Dự phòng phải thu khó đòi – ngắn hạn,Trong đó:Dự phòng phải thu khó đòi – ngắn hạn,,,(17.804.753.713),,,,(10.832.267.696),,,,-17804753713.0,,,,-10832267696.0,
