row_label_raw,row_label_full,Thuế giá trị gia tăng,1/1/2019 > Phải thu VND > -,1/1/2019 > Phải nộp VND > 3.239.779.448,Số phải nộp trong năm VND > 36.629.453.979,Số đã nộp/ bù trừ trong năm VND > (37.171.651.782),31/12/2019 > Phải thu VND > -,31/12/2019 > Phải nộp VND > 2.697.581.645,numeric__1/1/2019 > Phải thu VND > -,numeric__1/1/2019 > Phải nộp VND > 3.239.779.448,numeric__Số phải nộp trong năm VND > 36.629.453.979,numeric__Số đã nộp/ bù trừ trong năm VND > (37.171.651.782),numeric__31/12/2019 > Phải thu VND > -,numeric__31/12/2019 > Phải nộp VND > 2.697.581.645
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,2.100.088.915,-,7.801.120.100,(8.638.126.184),2.937.094.999,-,2100088915.0,,7801120100.0,-8638126184.0,2937094999.0,
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,1.029.570.119,9.639.344.413,(9.820.613.175),19.660.816,867.962.173,,1029570119.0,9639344413.0,-9820613175.0,19660816.0,867962173.0
Thuế khác,Thuế khác,Thuế khác,-,1.000.000,563.373.523,(564.373.523),-,-,,1000000.0,563373523.0,-564373523.0,,
,,,2.100.088.915,4.270.349.567,54.633.292.015,(56.194.764.664),2.956.755.815,3.565.543.818,2100088915.0,4270349567.0,54633292015.0,-56194764664.0,2956755815.0,3565543818.0
