row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2019VND,1/1/2019VND,,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty Cổ phần Hà Đô 45,Các công ty con > Công ty Cổ phần Hà Đô 45,Công ty Cổ phần Hà Đô 45,2.527.881.087,12.669.420.559,2527881087.0,12669420559.0
Công ty Cổ phần Hà Đô 1,Các công ty con > Công ty Cổ phần Hà Đô 1,Công ty Cổ phần Hà Đô 1,-,6.335.414.981,,6335414981.0
Công ty Cổ phần Cơ điện Xây dựngThiết bị Công nghiệp Hà Đô,Các công ty con > Công ty Cổ phần Cơ điện Xây dựngThiết bị Công nghiệp Hà Đô,Công ty Cổ phần Cơ điện Xây dựngThiết bị Công nghiệp Hà Đô,-,4.262.028.158,,4262028158.0
Công ty TNHH MTV Quản lý - Vận hành - Khai thácBất động sản Hà Đô,Các công ty con > Công ty TNHH MTV Quản lý - Vận hành - Khai thácBất động sản Hà Đô,Công ty TNHH MTV Quản lý - Vận hành - Khai thácBất động sản Hà Đô,2.031.987.976,2.275.783.456,2031987976.0,2275783456.0
Các công ty liên quan khác,Các công ty liên quan khác,Các công ty liên quan khác,Các công ty liên quan khác,Các công ty liên quan khác,,
Công ty Cổ phần Đầu tư An Lạc,Các công ty liên quan khác > Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,-,2.019.725.459,,2019725459.0
Các bên khác,Các bên khác,Các bên khác,Các bên khác,Các bên khác,,
Công ty Cổ phần Hà Đô 23,Các bên khác > Công ty Cổ phần Hà Đô 23,Công ty Cổ phần Hà Đô 23,2.018.958.271,2.749.426.869,2018958271.0,2749426869.0
Ông Huỳnh Kỳ Trân,Các bên khác > Ông Huỳnh Kỳ Trân,Ông Huỳnh Kỳ Trân,-,26.924.500.000,,26924500000.0
Các nhà cung cấp khác,Các bên khác > Các nhà cung cấp khác,Các nhà cung cấp khác,9.362.621.468,15.812.054.255,9362621468.0,15812054255.0
,,,15.941.448.802,73.048.353.737,15941448802.0,73048353737.0
