row_label_raw,row_label_full,col_0,1/1/2019Giá trị ghi sổ và sổ cókhả năng trả nợVND,Biên động trong năm > TăngVND,Biên động trong năm > GiảmVND,31/12/2019Giá trị ghi sổ và sổ cókhả năng trả nợVND,numeric__1/1/2019Giá trị ghi sổ và sổ cókhả năng trả nợVND,numeric__Biên động trong năm > TăngVND,numeric__Biên động trong năm > GiảmVND,numeric__31/12/2019Giá trị ghi sổ và sổ cókhả năng trả nợVND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,664.238.691.840,460.391.768.990,(835.009.906.306),289.620.554.524,664238691840.0,460391768990.0,-835009906306.0,289620554524.0
Vay dài hạn đến hạn trả (Thuyết minh 21(b)),Vay dài hạn đến hạn trả (Thuyết minh 21(b)),Vay dài hạn đến hạn trả (Thuyết minh 21(b)),15.733.003.616,213.172.230.561,(11.442.184.448),217.463.049.729,15733003616.0,213172230561.0,-11442184448.0,217463049729.0
,,,679.971.695.456,673.563.999.551,(846.452.090.754),507.083.604.253,679971695456.0,673563999551.0,-846452090754.0,507083604253.0
Điều khoản và điều kiện của các khoản vay ngắn như sau:,Điều khoản và điều kiện của các khoản vay ngắn như sau:,Điều khoản và điều kiện của các khoản vay ngắn như sau:,Điều khoản và điều kiện của các khoản vay ngắn như sau:,Điều khoản và điều kiện của các khoản vay ngắn như sau:,Điều khoản và điều kiện của các khoản vay ngắn như sau:,Điều khoản và điều kiện của các khoản vay ngắn như sau:,,,,
,,,,Loại tiền,Lãi suấtnăm,31/12/2019VND,,,,
Vay cá nhân,Điều khoản và điều kiện của các khoản vay ngắn như sau: > Vay cá nhân,Vay cá nhân,,VND,"8% - 9,5%",14.640.000.000,,,,14640000000.0
Vay Ngân hàng TMCP Công thương Việt Nam – Chi nhánh Ba Đình,Điều khoản và điều kiện của các khoản vay ngắn như sau: > Vay Ngân hàng TMCP Công thương Việt Nam – Chi nhánh Ba Đình,Vay Ngân hàng TMCP Công thương Việt Nam – Chi nhánh Ba Đình,,VND,"7,2% - 7,8%",67.060.389.721,,,,67060389721.0
Vay Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Đông Anh,Điều khoản và điều kiện của các khoản vay ngắn như sau: > Vay Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Đông Anh,Vay Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Đông Anh,,VND,"7,5%",23.420.164.803,,,0.075,23420164803.0
Vay từ công ty con – Công ty Cổ phần Đầu tư Khánh Hà,Điều khoản và điều kiện của các khoản vay ngắn như sau: > Vay từ công ty con – Công ty Cổ phần Đầu tư Khánh Hà,Vay từ công ty con – Công ty Cổ phần Đầu tư Khánh Hà,,VND,"5,1%",-,,,0.051,
Vay từ công ty con – Công ty Cổ phần Thủy điện Sông Tranh 4,Điều khoản và điều kiện của các khoản vay ngắn như sau: > Vay từ công ty con – Công ty Cổ phần Thủy điện Sông Tranh 4,Vay từ công ty con – Công ty Cổ phần Thủy điện Sông Tranh 4,,VND,"4,5%",-,,,0.045,
Vay từ công ty con – Công ty Cổ phần Hà Đô – 756 Sài Gòn,Điều khoản và điều kiện của các khoản vay ngắn như sau: > Vay từ công ty con – Công ty Cổ phần Hà Đô – 756 Sài Gòn,Vay từ công ty con – Công ty Cổ phần Hà Đô – 756 Sài Gòn,,VND,"6,6%",120.000.000.000,,,0.066,120000000000.0
Vay từ công ty con – Công ty TNHH MTV Quản lý - Vận hành -Khai thác Bất động sản Hà Đô,Điều khoản và điều kiện của các khoản vay ngắn như sau: > Vay từ công ty con – Công ty TNHH MTV Quản lý - Vận hành -Khai thác Bất động sản Hà Đô,Vay từ công ty con – Công ty TNHH MTV Quản lý - Vận hành -Khai thác Bất động sản Hà Đô,,VND,"9,5%",7.500.000.000,,,0.095,7500000000.0
"Công ty Cổ phần Đầu tư IP Việt Nam, một bên liên quan","Điều khoản và điều kiện của các khoản vay ngắn như sau: > Công ty Cổ phần Đầu tư IP Việt Nam, một bên liên quan","Công ty Cổ phần Đầu tư IP Việt Nam, một bên liên quan",,VND,"8,6%",57.000.000.000,,,0.086,57000000000.0
,,,,,,289.620.554.524,,,,289620554524.0
