row_label_raw,row_label_full,Đơn vị tư vấn phát hành,Loại tiền,Lãi suất năm,Năm đáo hạn,31/12/2019 VND,1/1/2019 VND,numeric__Loại tiền,numeric__Lãi suất năm,numeric__Năm đáo hạn,numeric__31/12/2019 VND,numeric__1/1/2019 VND
Công ty Cổ phần Chứng khoán VNDirect (*),Công ty Cổ phần Chứng khoán VNDirect (*),Công ty Cổ phần Chứng khoán VNDirect (*),Công ty Cổ phần Chứng khoán VNDirect (*),Công ty Cổ phần Chứng khoán VNDirect (*),Công ty Cổ phần Chứng khoán VNDirect (*),Công ty Cổ phần Chứng khoán VNDirect (*),Công ty Cổ phần Chứng khoán VNDirect (*),,,,,
• Lô 1,Công ty Cổ phần Chứng khoán VNDirect (*) > • Lô 1,• Lô 1,VND,"10,5%",2021,248.284.246.575,,,0.105,2021.0,248284246575.0,
Công ty Cổ phần Chứng khoán Bản Việt (**),Công ty Cổ phần Chứng khoán Bản Việt (**),Công ty Cổ phần Chứng khoán Bản Việt (**),Công ty Cổ phần Chứng khoán Bản Việt (**),Công ty Cổ phần Chứng khoán Bản Việt (**),Công ty Cổ phần Chứng khoán Bản Việt (**),Công ty Cổ phần Chứng khoán Bản Việt (**),Công ty Cổ phần Chứng khoán Bản Việt (**),,,,,
• Lô 1,Công ty Cổ phần Chứng khoán Bản Việt (**) > • Lô 1,• Lô 1,VND,"10,0%",2020,42.756.942.500,,,0.1,2020.0,42756942500.0,
• Lô 2,Công ty Cổ phần Chứng khoán Bản Việt (**) > • Lô 2,• Lô 2,VND,"10,0%",2020,34.802.162.500,,,0.1,2020.0,34802162500.0,
• Lô 3,Công ty Cổ phần Chứng khoán Bản Việt (**) > • Lô 3,• Lô 3,VND,"10,0%",2020,11.932.170.000,,,0.1,2020.0,11932170000.0,
• Lô 4,Công ty Cổ phần Chứng khoán Bản Việt (**) > • Lô 4,• Lô 4,VND,"10,0%",2020,34.802.162.500,,,0.1,2020.0,34802162500.0,
• Lô 5,Công ty Cổ phần Chứng khoán Bản Việt (**) > • Lô 5,• Lô 5,VND,"10,0%",2020,74.576.062.500,,,0.1,2020.0,74576062500.0,
Công ty Cổ phần Chứng khoán Bản Việt (***),Công ty Cổ phần Chứng khoán Bản Việt (***),Công ty Cổ phần Chứng khoán Bản Việt (***),Công ty Cổ phần Chứng khoán Bản Việt (***),Công ty Cổ phần Chứng khoán Bản Việt (***),Công ty Cổ phần Chứng khoán Bản Việt (***),Công ty Cổ phần Chứng khoán Bản Việt (***),Công ty Cổ phần Chứng khoán Bản Việt (***),,,,,
• Lô 1,Công ty Cổ phần Chứng khoán Bản Việt (***) > • Lô 1,• Lô 1,VND,6%,2022,492.405.428.833,,,0.06,2022.0,492405428833.0,
,,,,,,939.559.175.408,,,,,939559175408.0,
