row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Dụng cụvăn phòngVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Dụng cụvăn phòngVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,10.546.797.195,842.286.191,10.287.014.909,2.737.847.289,24.413.945.584,10546797195.0,842286191.0,10287014909.0,2737847289.0,24413945584.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,-,1.972.998.182,1.972.998.182,,,,1972998182.0,1972998182.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,10.546.797.195,842.286.191,10.287.014.909,4.710.845.471,26.386.943.766,10546797195.0,842286191.0,10287014909.0,4710845471.0,26386943766.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,10.399.563.406,93.825.780,7.613.907.910,2.268.101.022,20.375.398.118,10399563406.0,93825780.0,7613907910.0,2268101022.0,20375398118.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,88.202.492,125.757.576,357.468.004,300.522.314,871.950.386,88202492.0,125757576.0,357468004.0,300522314.0,871950386.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,10.487.765.898,219.583.356,7.971.375.914,2.568.623.336,21.247.348.504,10487765898.0,219583356.0,7971375914.0,2568623336.0,21247348504.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,147.233.789,748.460.411,2.673.106.999,469.746.267,4.038.547.466,147233789.0,748460411.0,2673106999.0,469746267.0,4038547466.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,59.031.297,622.702.835,2.315.638.995,2.142.222.135,5.139.595.262,59031297.0,622702835.0,2315638995.0,2142222135.0,5139595262.0
