row_label_raw,row_label_full,col_0,Địa chỉ,Số lượng cổ phiếu,% sở hữu,% quyền biểu quyết,31/12/2019Giá gốc VND,Dự phòng VND,Giá trị hợp lý VND,numeric__Địa chỉ,numeric__Số lượng cổ phiếu,numeric__% sở hữu,numeric__% quyền biểu quyết,numeric__31/12/2019Giá gốc VND,numeric__Dự phòng VND,numeric__Giá trị hợp lý VND
Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,,,,,,,
▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,,,,,,,
- Công ty Cổ phần Hà Đô 1,▪ Công ty con > - Công ty Cổ phần Hà Đô 1,- Công ty Cổ phần Hà Đô 1,Hà Nội,2.561.323,51%,51%,23.382.120.000,,(*),,2561323.0,0.51,0.51,23382120000.0,,
- Công ty Cổ phần Hà Đô 45 (i),▪ Công ty con > - Công ty Cổ phần Hà Đô 45 (i),- Công ty Cổ phần Hà Đô 45 (i),TP. Hồ Chí Minh,2.075.194,51%,51%,11.358.980.000,(11.358.980.000),(*),,2075194.0,0.51,0.51,11358980000.0,-11358980000.0,
- Công ty Cổ phần Đầu tư Khánh Hà (ii),▪ Công ty con > - Công ty Cổ phần Đầu tư Khánh Hà (ii),- Công ty Cổ phần Đầu tư Khánh Hà (ii),Nha Trang,18.439.089,71%,71%,196.842.885.000,,(*),,18439089.0,0.71,0.71,196842885000.0,,
- Công ty Cổ phần Hà Đô - 756 Sài Gòn,▪ Công ty con > - Công ty Cổ phần Hà Đô - 756 Sài Gòn,- Công ty Cổ phần Hà Đô - 756 Sài Gòn,TP. Hồ Chí Minh,28.350.000,89%,63%,283.500.000.000,,(*),,28350000.0,0.89,0.63,283500000000.0,,
- Công ty Cổ phần Cơ diện Xây dựng Thiết bị Công nghiệp Hà Đô,▪ Công ty con > - Công ty Cổ phần Cơ diện Xây dựng Thiết bị Công nghiệp Hà Đô,- Công ty Cổ phần Cơ diện Xây dựng Thiết bị Công nghiệp Hà Đô,Hà Nội,1.025.000,51%,51%,3.570.000.000,,(*),,1025000.0,0.51,0.51,3570000000.0,,
- Công ty Cổ phần Za Hưng (iii),▪ Công ty con > - Công ty Cổ phần Za Hưng (iii),- Công ty Cổ phần Za Hưng (iii),Hà Nội,43.451.141,52%,52%,371.629.000.000,,(*),,43451141.0,0.52,0.52,371629000000.0,,
- Công ty Cổ phần Thùy diện Sông Tranh 4,▪ Công ty con > - Công ty Cổ phần Thùy diện Sông Tranh 4,- Công ty Cổ phần Thùy diện Sông Tranh 4,Quảng Nam,9.180.000,34%,85%,96.794.654.400,,(*),,9180000.0,0.34,0.85,96794654400.0,,
- Công ty TNHH Hà Đô Bình Thuận (iv),▪ Công ty con > - Công ty TNHH Hà Đô Bình Thuận (iv),- Công ty TNHH Hà Đô Bình Thuận (iv),Bình Thuận,24.168.000,76%,90%,241.680.000.000,,(*),,24168000.0,0.76,0.9,241680000000.0,,
- Công ty TNHH MTV Đầu tư Quốc tế Hà Đô (iv),▪ Công ty con > - Công ty TNHH MTV Đầu tư Quốc tế Hà Đô (iv),- Công ty TNHH MTV Đầu tư Quốc tế Hà Đô (iv),"Viên Chăn, Lào",,100%,100%,347.918.565.922,,(*),,,1.0,1.0,347918565922.0,,
- Công ty TNHH MTV Quản lý - Vận hành - Khai thác Bất động sản Hà Đô,▪ Công ty con > - Công ty TNHH MTV Quản lý - Vận hành - Khai thác Bất động sản Hà Đô,- Công ty TNHH MTV Quản lý - Vận hành - Khai thác Bất động sản Hà Đô,TP. Hồ Chí Minh,,100%,100%,1.047.111.908,,(*),,,1.0,1.0,1047111908.0,,
- Công ty Cổ phần Đầu tư Bất động sản Bình An Riverside (v),▪ Công ty con > - Công ty Cổ phần Đầu tư Bất động sản Bình An Riverside (v),- Công ty Cổ phần Đầu tư Bất động sản Bình An Riverside (v),TP. Hồ Chí Minh,25.740.000,99%,99%,237.879.000.000,,(*),,25740000.0,0.99,0.99,237879000000.0,,
- Công ty Cổ phần Thiết Bộ Giáo Dục 1 (vi),▪ Công ty con > - Công ty Cổ phần Thiết Bộ Giáo Dục 1 (vi),- Công ty Cổ phần Thiết Bộ Giáo Dục 1 (vi),Hà Nội,2.319.073,99%,99%,262.992.675.800,,(*),,2319073.0,0.99,0.99,262992675800.0,,
- Công ty Cổ phần Năng lượng Agrita - Quảng Nam (vii),▪ Công ty con > - Công ty Cổ phần Năng lượng Agrita - Quảng Nam (vii),- Công ty Cổ phần Năng lượng Agrita - Quảng Nam (vii),Quảng Nam,85.482.000,95%,100%,1.047.835.295.099,,(*),,85482000.0,0.95,1.0,1047835295099.0,,
- Công ty TNHH MTV Hà Đô Ninh Thuận (viii),▪ Công ty con > - Công ty TNHH MTV Hà Đô Ninh Thuận (viii),- Công ty TNHH MTV Hà Đô Ninh Thuận (viii),Ninh Thuận,700.000,100%,100%,7.040.000.000,,(*),,700000.0,1.0,1.0,7040000000.0,,
