row_label_raw,row_label_full,col_0,Mã số,2019 VND,2018 VND,numeric__Mã số,numeric__2019 VND,numeric__2018 VND
LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
Lợi nhuận trước thuế,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,694.765.280.701,356.151.370.384,1.0,694765280701.0,356151370384.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,,,
Khấu hao và phân bổ,Điều chỉnh cho các khoản > Khấu hao và phân bổ,Khấu hao và phân bổ,02,36.968.517.663,34.597.213.171,2.0,36968517663.0,34597213171.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,17.936.255.217,6.983.535.515,3.0,17936255217.0,6983535515.0
Lãi từ hoạt động đầu tư,Điều chỉnh cho các khoản > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,(774.720.733.754),(371.864.974.540),5.0,-774720733754.0,-371864974540.0
Chi phí lãi vay (bao gồm chi phí phát hành trái phiếu phân bổ trong năm),Điều chỉnh cho các khoản > Chi phí lãi vay (bao gồm chi phí phát hành trái phiếu phân bổ trong năm),Chi phí lãi vay (bao gồm chi phí phát hành trái phiếu phân bổ trong năm),06,148.675.572.811,56.583.732.735,6.0,148675572811.0,56583732735.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,123.624.892.638,82.450.877.265,8.0,123624892638.0,82450877265.0
Biến động các khoản phải thu,Điều chỉnh cho các khoản > Biến động các khoản phải thu,Biến động các khoản phải thu,09,(7.438.211.323),(13.582.408.912),9.0,-7438211323.0,-13582408912.0
Biến động hàng tồn kho,Điều chỉnh cho các khoản > Biến động hàng tồn kho,Biến động hàng tồn kho,10,(65.188.816.966),(77.804.294.830),10.0,-65188816966.0,-77804294830.0
