row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,759.680.800.000,(33.000.000),(311.780.000),23.516.835.886,186.398.788.423,969.251.644.309,759680800000.0,-33000000.0,-311780000.0,23516835886.0,186398788423.0,969251644309.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,75.935.910.000,(138.550.000),-,-,-,75.797.360.000,75935910000.0,-138550000.0,,,,75797360000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,352.639.653.655,352.639.653.655,,,,,352639653655.0,352639653655.0
Phát hành cổ phiếu thường từ lợi nhuận chưa phân phối (Thuyết minh 24),Phát hành cổ phiếu thường từ lợi nhuận chưa phân phối (Thuyết minh 24),Phát hành cổ phiếu thường từ lợi nhuận chưa phân phối (Thuyết minh 24),113.903.650.000,-,-,-,(113.903.650.000),-,113903650000.0,,,,-113903650000.0,
Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(14.490.000),-,-,(14.490.000),,,-14490000.0,,,-14490000.0
Cổ tức (Thuyết minh 24),Cổ tức (Thuyết minh 24),Cổ tức (Thuyết minh 24),-,-,-,-,(132.874.308.325),(132.874.308.325),,,,,-132874308325.0,-132874308325.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(5.375.000.000),(5.375.000.000),,,,,-5375000000.0,-5375000000.0
Khác,Khác,Khác,-,-,-,-,47.751.450,47.751.450,,,,,47751450.0,47751450.0
Số dư tại ngày 1/1/2019,Số dư tại ngày 1/1/2019,Số dư tại ngày 1/1/2019,949.520.360.000,(171.550.000),(326.270.000),23.516.835.886,286.933.235.203,1.259.472.611.089,949520360000.0,-171550000.0,-326270000.0,23516835886.0,286933235203.0,1259472611089.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,686.964.160.601,686.964.160.601,,,,,686964160601.0,686964160601.0
Phát hành cổ phiếu trả cổ tức (Thuyết minh 24),Phát hành cổ phiếu trả cổ tức (Thuyết minh 24),Phát hành cổ phiếu trả cổ tức (Thuyết minh 24),237.292.530.000,-,-,-,(237.292.530.000),-,237292530000.0,,,,-237292530000.0,
Cổ tức (Thuyết minh 24),Cổ tức (Thuyết minh 24),Cổ tức (Thuyết minh 24),-,-,-,-,(118.648.662.000),(118.648.662.000),,,,,-118648662000.0,-118648662000.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,(10.579.000.000),(10.579.000.000),,,,,-10579000000.0,-10579000000.0
Khác,Khác,Khác,-,-,-,-,(184.579.764),(184.579.764),,,,,-184579764.0,-184579764.0
Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,1.186.812.890.000,(171.550.000),(326.270.000),23.516.835.886,607.192.624.040,1.817.024.529.926,1186812890000.0,-171550000.0,-326270000.0,23516835886.0,607192624040.0,1817024529926.0
