row_label_raw,row_label_full,col_0,2019VND,2018VND,numeric__2019VND,numeric__2018VND
Công ty Cổ phần Hà Đô – 756 Sài Gòn,Công ty Cổ phần Hà Đô – 756 Sài Gòn,Công ty Cổ phần Hà Đô – 756 Sài Gòn,Công ty Cổ phần Hà Đô – 756 Sài Gòn,Công ty Cổ phần Hà Đô – 756 Sài Gòn,,
Cổ tức được chia từ công ty con,Công ty Cổ phần Hà Đô – 756 Sài Gòn > Cổ tức được chia từ công ty con,Cổ tức được chia từ công ty con,680.850.000.000,212.625.000.000,680850000000.0,212625000000.0
Bán hàng hóa và dịch vụ cho công ty con,Công ty Cổ phần Hà Đô – 756 Sài Gòn > Bán hàng hóa và dịch vụ cho công ty con,Bán hàng hóa và dịch vụ cho công ty con,-,2.494.257.773,,2494257773.0
Đi vay công ty con,Công ty Cổ phần Hà Đô – 756 Sài Gòn > Đi vay công ty con,Đi vay công ty con,600.000.000.000,525.000.000.000,600000000000.0,525000000000.0
Bù trừ cổ tức phải thu với khoản vay công ty con,Công ty Cổ phần Hà Đô – 756 Sài Gòn > Bù trừ cổ tức phải thu với khoản vay công ty con,Bù trừ cổ tức phải thu với khoản vay công ty con,440.550.000.000,-,440550000000.0,
Chi phí lãi vay và chi phí sử dụng vốn của công ty con,Công ty Cổ phần Hà Đô – 756 Sài Gòn > Chi phí lãi vay và chi phí sử dụng vốn của công ty con,Chi phí lãi vay và chi phí sử dụng vốn của công ty con,91.969.395.068,17.801.093.151,91969395068.0,17801093151.0
Nhận hợp tác đầu tư từ công ty con,Công ty Cổ phần Hà Đô – 756 Sài Gòn > Nhận hợp tác đầu tư từ công ty con,Nhận hợp tác đầu tư từ công ty con,-,82.500.000.000,,82500000000.0
Hoàn trả hợp tác đầu tư cho công ty con,Công ty Cổ phần Hà Đô – 756 Sài Gòn > Hoàn trả hợp tác đầu tư cho công ty con,Hoàn trả hợp tác đầu tư cho công ty con,220.000.000.000,97.450.000.000,220000000000.0,97450000000.0
Phí quản lý công ty con,Công ty Cổ phần Hà Đô – 756 Sài Gòn > Phí quản lý công ty con,Phí quản lý công ty con,9.523.858.408,14.550.049.604,9523858408.0,14550049604.0
Công ty Cổ phần Thủy điện Sông Tranh 4,Công ty Cổ phần Thủy điện Sông Tranh 4,Công ty Cổ phần Thủy điện Sông Tranh 4,Công ty Cổ phần Thủy điện Sông Tranh 4,Công ty Cổ phần Thủy điện Sông Tranh 4,,
Đi vay công ty con,Công ty Cổ phần Thủy điện Sông Tranh 4 > Đi vay công ty con,Đi vay công ty con,-,2.761.111.112,,2761111112.0
Hoàn trả khoản vay công ty con,Công ty Cổ phần Thủy điện Sông Tranh 4 > Hoàn trả khoản vay công ty con,Hoàn trả khoản vay công ty con,44.761.111.112,38.000.000.000,44761111112.0,38000000000.0
Chi phí lãi vay công ty con,Công ty Cổ phần Thủy điện Sông Tranh 4 > Chi phí lãi vay công ty con,Chi phí lãi vay công ty con,(265.411.616),1.021.938.890,-265411616.0,1021938890.0
