row_label_raw,row_label_full,col_0,Hoạt động huy động và tín dụng,"Hoạt động kinh doanh, đầu tư chứng khoán",Hoạt động khác,Tổng cộng toàn ngân hàng,numeric__Hoạt động huy động và tín dụng,"numeric__Hoạt động kinh doanh, đầu tư chứng khoán",numeric__Hoạt động khác,numeric__Tổng cộng toàn ngân hàng
Thu nhập,Thu nhập,Thu nhập,2.636.567,2.927.979,233.107,5.797.653,2636567.0,2927979.0,233107.0,5797653.0
Chi phí,Chi phí,Chi phí,4.974.428,2.378.921,180.346,7.533.695,4974428.0,2378921.0,180346.0,7533695.0
Thu nhập thuần,Thu nhập thuần,Thu nhập thuần,(2.337.861),549.058,52.761,(1.736.042),-2337861.0,549058.0,52761.0,-1736042.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,85.052.333,19.089.548,-,104.141.881,85052333.0,19089548.0,,104141881.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,14.356.835,,,,14356835.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,118.498.716,,,,118498716.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,110.469.429,86.313,-,110.555.742,110469429.0,86313.0,,110555742.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,1.850.128,,,,1850128.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,112.405.870,,,,112405870.0
