row_label_raw,row_label_full,Tiền gửi tại các TCTD khác,31/12/2024,31/12/2023,numeric__31/12/2024,numeric__31/12/2023
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,9.323.929,5.460.903,9323929.0,5460903.0
Bằng VND,Bằng VND,Bằng VND,8.791.325,5.078.502,8791325.0,5078502.0
Bằng ngoại hối,Bằng ngoại hối,Bằng ngoại hối,532.604,382.401,532604.0,382401.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,5.750.000,3.000.000,5750000.0,3000000.0
Bằng VND,Bằng VND,Bằng VND,5.750.000,3.000.000,5750000.0,3000000.0
Bằng ngoại hối,Bằng ngoại hối,Bằng ngoại hối,-,-,,
Cộng,Bằng ngoại hối > Cộng,Cộng,15.073.929,8.460.903,15073929.0,8460903.0
"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác","Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác","Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác",31/12/2024,31/12/2023,,
- Nợ đủ tiêu chuẩn,"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác > - Nợ đủ tiêu chuẩn",- Nợ đủ tiêu chuẩn,5.750.000,3.000.000,5750000.0,3000000.0
Tổng cộng,"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác > Tổng cộng",Tổng cộng,5.750.000,3.000.000,5750000.0,3000000.0
4. Cho vay khách hàng,4. Cho vay khách hàng,4. Cho vay khách hàng,31/12/2024,31/12/2023,,
"Cho vay các tổ chức kinh tế, cá nhân trong nước","4. Cho vay khách hàng > Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước",71.137.541,55.298.120,71137541.0,55298120.0
Các khoản trả thay cho khách hàng,4. Cho vay khách hàng > Các khoản trả thay cho khách hàng,Các khoản trả thay cho khách hàng,15.848,42.739,15848.0,42739.0
"Cho vay bằng vốn tài trợ, ủy thác đầu tư","4. Cho vay khách hàng > Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư",13.933,3.400,13933.0,3400.0
Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,4. Cho vay khách hàng > Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,7.398,-,7398.0,
Tổng cộng,4. Cho vay khách hàng > Tổng cộng,Tổng cộng,71.174.720,55.344.259,71174720.0,55344259.0
