row_label_raw,row_label_full,10.4 Dự phòng rủi ro cho các tài sản Có nội bằng khác,31/12/2024,31/12/2023,numeric__31/12/2024,numeric__31/12/2023
- Dự phòng rủi ro các khoản nợ phải thu khó đòi,- Dự phòng rủi ro các khoản nợ phải thu khó đòi,- Dự phòng rủi ro các khoản nợ phải thu khó đòi,(1.679.440),(219.270),-1679440.0,-219270.0
Cộng,Cộng,Cộng,(1.679.440),(219.270),-1679440.0,-219270.0
11. Tiền gửi và vay các TCTD khác,11. Tiền gửi và vay các TCTD khác,11. Tiền gửi và vay các TCTD khác,31/12/2024,31/12/2023,,
11.1. Tiền gửi của các TCTD khác,11.1. Tiền gửi của các TCTD khác,11.1. Tiền gửi của các TCTD khác,,,,
a. Tiền gửi không kỳ hạn,11.1. Tiền gửi của các TCTD khác > a. Tiền gửi không kỳ hạn,a. Tiền gửi không kỳ hạn,7.536.450,5.023.296,7536450.0,5023296.0
- Bằng VND,11.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,7.536.383,5.023.229,7536383.0,5023229.0
- Bằng ngoại hối,11.1. Tiền gửi của các TCTD khác > - Bằng ngoại hối,- Bằng ngoại hối,67,67,67.0,67.0
b. Tiền gửi có kỳ hạn,11.1. Tiền gửi của các TCTD khác > b. Tiền gửi có kỳ hạn,b. Tiền gửi có kỳ hạn,2.500.000,4.007.005,2500000.0,4007005.0
- Bằng VND,11.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,2.500.000,4.007.005,2500000.0,4007005.0
- Bằng ngoại hối,- Bằng ngoại hối,- Bằng ngoại hối,-,-,,
Cộng,- Bằng ngoại hối > Cộng,Cộng,10.036.450,9.030.301,10036450.0,9030301.0
11.2. Vay các TCTD khác,11.2. Vay các TCTD khác,11.2. Vay các TCTD khác,,,,
- Bằng VND,- Bằng VND,- Bằng VND,-,-,,
- Bằng ngoại hối,- Bằng ngoại hối,- Bằng ngoại hối,-,-,,
Cộng,Cộng,Cộng,-,-,,
Tổng cộng tiền gửi của và vay TCTD khác,Cộng > Tổng cộng tiền gửi của và vay TCTD khác,Tổng cộng tiền gửi của và vay TCTD khác,10.036.450,9.030.301,10036450.0,9030301.0
12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,,,,
- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,31/12/2024,31/12/2023,,
"Tiền, vàng gửi không kỳ hạn","- Thuyết minh theo loại tiền gửi > Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn",9.083.078,4.586.717,9083078.0,4586717.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,8.812.927,4.307.669,8812927.0,4307669.0
- Bằng ngoại hối,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hối,- Bằng ngoại hối,270.151,279.048,270151.0,279048.0
"Tiền, vàng gửi có kỳ hạn","- Thuyết minh theo loại tiền gửi > Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn",86.781.912,71.984.138,86781912.0,71984138.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,86.716.234,71.904.816,86716234.0,71904816.0
- Bằng ngoại hối,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hối,- Bằng ngoại hối,65.678,79.322,65678.0,79322.0
Tiền gửi vốn chuyên dùng,- Thuyết minh theo loại tiền gửi > Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,288,283,288.0,283.0
Tiền gửi ký quỹ,- Thuyết minh theo loại tiền gửi > Tiền gửi ký quỹ,Tiền gửi ký quỹ,251.908,279.076,251908.0,279076.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,251.907,277.159,251907.0,277159.0
- Bằng ngoại hối,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hối,- Bằng ngoại hối,1,1.917,1.0,1917.0
Tổng cộng,- Thuyết minh theo loại tiền gửi > Tổng cộng,Tổng cộng,96.117.186,76.850.214,96117186.0,76850214.0
