row_label_raw,row_label_full,Chỉ tiêu,Số dư đầu năm,Phát sinh trong năm > Số phải nộp,Phát sinh trong năm > Số đã nộp/khẩu trừ,Số dư cuối năm,numeric__Số dư đầu năm,numeric__Phát sinh trong năm > Số phải nộp,numeric__Phát sinh trong năm > Số đã nộp/khẩu trừ,numeric__Số dư cuối năm
1. Thuế GTGT,1. Thuế GTGT,1. Thuế GTGT,690,21.184,19.872,2.002,690.0,21184.0,19872.0,2002.0
2. Thuế TNDN,2. Thuế TNDN,2. Thuế TNDN,(720),848,175,(47),-720.0,848.0,175.0,-47.0
3. Các loại thuế khác,3. Các loại thuế khác,3. Các loại thuế khác,4.014,78.240,74.994,7.260,4014.0,78240.0,74994.0,7260.0
Tổng cộng,Tổng cộng,Tổng cộng,3.984,100.272,95.041,9.215,3984.0,100272.0,95041.0,9215.0
