row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,Phần mềm máy vi tính,TSCĐ vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy vi tính,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,536.147,141.253,57.747,735.147,536147.0,141253.0,57747.0,735147.0
- Mua trong năm,Nguyên giá TSCĐ vô hình > - Mua trong năm,- Mua trong năm,72.863,41.759,-,114.622,72863.0,41759.0,,114622.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(306),(15),(321),,-306.0,-15.0,-321.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,609.010,182.706,57.732,849.448,609010.0,182706.0,57732.0,849448.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,63.645,57.464,121.109,,63645.0,57464.0,121109.0
- Khẩu hao trong năm,Giá trị hao mòn lũy kế > - Khẩu hao trong năm,- Khẩu hao trong năm,-,14.818,248,15.066,,14818.0,248.0,15066.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(262),-,(262),,-262.0,,-262.0
- Giảm khác,Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,-,-,(8),(8),,,-8.0,-8.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,78.201,57.704,135.905,,78201.0,57704.0,135905.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,536.147,77.608,283,614.038,536147.0,77608.0,283.0,614038.0
Số dư cuối năm,Giá trị còn lại của TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,609.010,104.505,28,713.543,609010.0,104505.0,28.0,713543.0
,,,,,31/12/2024,31/12/2023,,,,
Nguyên giá tài sản cố định đã khấu hao hết,Giá trị còn lại của TSCĐ vô hình > Nguyên giá tài sản cố định đã khấu hao hết,Nguyên giá tài sản cố định đã khấu hao hết,,,97.820,85.606,,,97820.0,85606.0
