row_label_raw,row_label_full,"7. Góp vốn, đầu tư dài hạn > - Phân tích giá trị đầu tư theo loại hình đầu tư",31/12/2024,31/12/2023,numeric__31/12/2024,numeric__31/12/2023
Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,719.600,719.600,719600.0,719600.0
Dự phòng giám giá đầu tư dài hạn,Dự phòng giám giá đầu tư dài hạn,Dự phòng giám giá đầu tư dài hạn,(348.356),(64.918),-348356.0,-64918.0
Tổng cộng,Tổng cộng,Tổng cộng,371.244,654.682,371244.0,654682.0
