row_label_raw,row_label_full,col_0,Năm nay,numeric__Năm nay
,,,VND,
Số đầu năm,Số đầu năm,Số đầu năm,132.540.000.000,132540000000.0
Ghi nhận trong năm,Ghi nhận trong năm,Ghi nhận trong năm,-,
Số cuối năm,Ghi nhận trong năm > Số cuối năm,Số cuối năm,132.540.000.000,132540000000.0
