row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
,,,VND,VND,VND,VND,VND,VND,,,,,,
,,,Giá gốc,Giá trị theo phương pháp vốn chủ sở hữu,Giá trị hợp lý,Giá gốc,Giá trị theo phương pháp vốn chủ sở hữu,Giá trị hợp lý,,,,,,
Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,680.903.000.000,28.388.260.482,26.758.116.000,680.903.000.000,28.566.148.989,33.675.180.000,680903000000.0,28388260482.0,26758116000.0,680903000000.0,28566148989.0,33675180000.0
Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,100.000.000.000,-,,100.000.000.000,-,,100000000000.0,,,100000000000.0,,
Công ty Cổ phần Hóa đầu và Xơ sợi Dầu khí,Công ty Cổ phần Hóa đầu và Xơ sợi Dầu khí,Công ty Cổ phần Hóa đầu và Xơ sợi Dầu khí,562.700.000.000,-,,562.700.000.000,-,,562700000000.0,,,562700000000.0,,
Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,18.203.000.000,28.388.260.482,26.758.116.000,18.203.000.000,28.566.148.989,33.675.180.000,18203000000.0,28388260482.0,26758116000.0,18203000000.0,28566148989.0,33675180000.0
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
,,,Giá gốc,Dự phòng,Giá trị hợp lý,Giá gốc,Dự phòng,Giá trị hợp lý,,,,,,
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,20.502.000.000,(2.237.291.264),,20.502.000.000,(2.383.535.351),,20502000000.0,-2237291264.0,,20502000000.0,-2383535351.0,
"Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí","Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí","Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí",3.600.000.000,-,,3.600.000.000,-,,3600000000.0,,,3600000000.0,,
Công ty Cổ phần Chế biển Thủy sản Út Xi,Công ty Cổ phần Chế biển Thủy sản Út Xi,Công ty Cổ phần Chế biển Thủy sản Út Xi,16.902.000.000,(2.237.291.264),,16.902.000.000,(2.383.535.351),,16902000000.0,-2237291264.0,,16902000000.0,-2383535351.0,
