row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,625.289.673.315,173.771.322.872,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,625289673315.0,173771322872.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,694.455.793.862,13.384.142.688,,,,,694455793862.0,13384142688.0
"Trích Quỹ Khen thưởng, phúc lợi","Trích Quỹ Khen thưởng, phúc lợi","Trích Quỹ Khen thưởng, phúc lợi",-,-,-,-,(94.907.669.853),(2.685.473.284),,,,,-94907669853.0,-2685473284.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,(782.668.520.000),(13.337.500.000),,,,,-782668520000.0,-13337500000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,442.169.277.324,171.132.492.276,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,442169277324.0,171132492276.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,442.169.277.324,171.132.492.276,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,442169277324.0,171132492276.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,699.593.467.601,12.880.733.113,,,,,699593467601.0,12880733113.0
Trích Quỹ Khen thưởng phúc lợi (1),Trích Quỹ Khen thưởng phúc lợi (1),Trích Quỹ Khen thưởng phúc lợi (1),-,-,-,-,(92.710.063.683),(2.820.021.228),,,,,-92710063683.0,-2820021228.0
Chia cổ tức (2),Chia cổ tức (2),Chia cổ tức (2),-,-,-,-,(391.334.260.000),(13.225.000.000),,,,,-391334260000.0,-13225000000.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,(449.881.276),(149.960.427),,,,,-449881276.0,-149960427.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,657.268.539.966,167.818.243.734,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,657268539966.0,167818243734.0
